"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:25,
1991-01,939.570,
1991-04,153.743,
1991-07,389.562,
1991-10,571.168,
1992-01,975.709,
1992-04,62.112,
1992-07,82.660,
1992-10,-1053.487,
1993-01,443.095,
1993-04,3099.478,
1993-07,2832.749,
1993-10,1630.883,
1994-01,3136.120,
1994-04,-191.573,
1994-07,364.274,
1994-10,-963.073,
1995-01,-1974.979,
1995-04,863.211,
1995-07,426.926,
1995-10,2246.848,
1996-01,599.375,
1996-04,-75.692,
1996-07,3828.647,
1996-10,4757.550,
1997-01,2367.044,
1997-04,1114.510,
1997-07,2933.174,
1997-10,-55.606,
1998-01,3991.189,
1998-04,3430.805,
1998-07,333.743,
1998-10,20103.149,
1999-01,-814.128,
1999-04,364.423,
1999-07,5669.162,
1999-10,213.585,
2000-01,-22789.010,
2000-04,710.611,
2000-07,2780.375,
2000-10,-2774.966,
2001-01,1821.007,
2001-04,32448.568,
2001-07,-1246.699,
2001-10,6029.356,
2002-01,6351.911,
2002-04,239.502,
2002-07,978.684,
2002-10,109.880,
2003-01,1327.231,
2003-04,4100.495,
2003-07,112.564,
2003-10,528.765,
2004-01,-8808.364,
2004-04,-2729.350,
2004-07,-274.447,
2004-10,1704.928,
2005-01,918.123,
2005-04,3746.408,
2005-07,1136.565,
2005-10,-6757.961,
2006-01,5058.852,
2006-04,3821.199,
2006-07,-2194.377,
2006-10,15137.043,
2007-01,24.928,
2007-04,3128.892,
2007-07,-5996.688,
2007-10,-2693.993,
2008-01,-113.878,
2008-04,4487.621,
2008-07,-4978.808,
2008-10,-1583.019,
2009-01,-5469.742,
2009-04,-4080.629,
2009-07,-911.428,
2009-10,-6333.819,
2010-01,1878.403,
2010-04,-3946.645,
2010-07,-1585.390,
2010-10,-2710.150,
2011-01,-6581.608,
2011-04,-1409.590,
2011-07,-4662.902,
2011-10,-5112.301,
2012-01,-851.735,
2012-04,-643.817,
2012-07,2470.022,
2012-10,974.153,
2013-01,-1263.721,
2013-04,-2419.418,
2013-07,-6160.559,
2013-10,-7618.644,
2014-01,-7734.172,Provisional value
2014-04,893.947,Provisional value
2014-07,1767.688,Provisional value
2014-10,-11808.436,Provisional value
