"",BBK01.OECJ03I,BBK01.OECJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:24,
2002-01,1.296,
2002-04,1.114,
2002-07,1.142,
2002-10,1.146,
2003-01,1.109,
2003-04,0.961,
2003-07,0.918,
2003-10,0.929,
2004-01,0.795,
2004-04,0.720,
2004-07,0.846,
2004-10,1.008,
2005-01,1.032,
2005-04,0.955,
2005-07,0.980,
2005-10,1.018,
2006-01,1.208,
2006-04,1.175,
2006-07,1.249,
2006-10,1.567,
2007-01,1.365,
2007-04,1.344,
2007-07,1.409,
2007-10,1.795,
2008-01,1.878,
2008-04,2.033,
2008-07,2.171,
2008-10,1.651,
2009-01,1.512,
2009-04,1.530,
2009-07,1.340,
2009-10,1.353,
2010-01,1.618,
2010-04,1.638,
2010-07,1.916,
2010-10,1.596,
2011-01,1.889,
2011-04,1.811,
2011-07,1.685,
2011-10,2.296,
2012-01,1.466,
2012-04,1.523,
2012-07,1.422,
2012-10,1.276,
2013-01,1.976,
2013-04,1.845,
2013-07,1.895,
2013-10,2.411,
2014-01,1.858,
2014-04,1.620,
2014-07,1.741,
