"",BBK01.OEXB02H,BBK01.OEXB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:00,
2002-01,10.142,
2002-04,10.052,
2002-07,9.725,
2002-10,9.613,
2003-01,9.550,
2003-04,10.366,
2003-07,9.897,
2003-10,9.886,
2004-01,7.327,
2004-04,7.032,
2004-07,7.049,
2004-10,6.500,
2005-01,6.594,
2005-04,6.089,
2005-07,6.131,
2005-10,6.085,
2006-01,6.343,
2006-04,6.734,
2006-07,6.714,
2006-10,6.698,
2007-01,6.776,
2007-04,7.002,
2007-07,6.770,
2007-10,7.556,
2008-01,7.197,
2008-04,7.110,
2008-07,7.543,
2008-10,6.564,
2009-01,6.566,
2009-04,6.576,
2009-07,6.942,
2009-10,6.350,
2010-01,6.573,
2010-04,7.190,
2010-07,7.377,
2010-10,6.943,
2011-01,7.593,
2011-04,7.586,
2011-07,7.993,
2011-10,8.191,
2012-01,7.863,
2012-04,7.731,
2012-07,7.820,
2012-10,7.938,
2013-01,7.368,
2013-04,7.225,
2013-07,7.257,
2013-10,7.661,
2014-01,8.061,
2014-04,8.068,
2014-07,8.330,
