"",BBK01.OEAF13S,BBK01.OEAF13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:53,
2002-01,0.023,
2002-04,0.025,
2002-07,0.024,
2002-10,0.027,
2003-01,0.028,
2003-04,0.027,
2003-07,0.029,
2003-10,0.032,
2004-01,0.027,
2004-04,0.025,
2004-07,0.026,
2004-10,0.021,
2005-01,0.027,
2005-04,0.026,
2005-07,0.031,
2005-10,0.031,
2006-01,0.033,
2006-04,0.038,
2006-07,0.049,
2006-10,0.039,
2007-01,0.057,
2007-04,0.052,
2007-07,0.026,
2007-10,0.022,
2008-01,0.022,
2008-04,0.025,
2008-07,0.025,
2008-10,0.024,
2009-01,0.022,
2009-04,0.022,
2009-07,0.022,
2009-10,0.021,
2010-01,0.026,
2010-04,0.025,
2010-07,0.019,
2010-10,0.013,
2011-01,0.019,
2011-04,0.018,
2011-07,0.018,
2011-10,0.015,
2012-01,0.016,
2012-04,0.015,
2012-07,0.016,
2012-10,0.013,
2013-01,0.016,
2013-04,0.015,
2013-07,0.017,
2013-10,0.014,
2014-01,0.016,
2014-04,0.018,
2014-07,0.017,
