"",BBK01.OEAE22L,BBK01.OEAE22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:12,
2002-01,2.448,
2002-04,2.624,
2002-07,2.826,
2002-10,3.308,
2003-01,3.662,
2003-04,3.757,
2003-07,4.432,
2003-10,4.991,
2004-01,5.139,
2004-04,5.389,
2004-07,5.183,
2004-10,5.300,
2005-01,6.086,
2005-04,5.698,
2005-07,6.348,
2005-10,5.666,
2006-01,5.675,
2006-04,5.939,
2006-07,5.709,
2006-10,5.525,
2007-01,5.464,
2007-04,5.998,
2007-07,6.125,
2007-10,7.088,
2008-01,7.202,
2008-04,7.222,
2008-07,7.552,
2008-10,7.311,
2009-01,7.211,
2009-04,7.557,
2009-07,7.684,
2009-10,7.706,
2010-01,7.821,
2010-04,7.496,
2010-07,7.834,
2010-10,8.576,
2011-01,7.761,
2011-04,7.513,
2011-07,7.121,
2011-10,6.567,
2012-01,6.643,
2012-04,6.844,
2012-07,6.727,
2012-10,6.502,
2013-01,6.203,
2013-04,6.207,
2013-07,6.020,
2013-10,5.893,
2014-01,6.066,
2014-04,5.941,
2014-07,5.515,
