"",BBK01.XS8868,BBK01.XS8868_FLAGS
"",Exports / Product Classification for Production Statistics from 2002 / Intermediate goods / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:07,
2000-01,14.62,
2000-02,15.05,
2000-03,16.58,
2000-04,15.29,
2000-05,16.02,
2000-06,16.22,
2000-07,16.30,
2000-08,16.67,
2000-09,16.59,
2000-10,17.94,
2000-11,17.23,
2000-12,17.55,
2001-01,17.08,
2001-02,17.43,
2001-03,16.82,
2001-04,16.79,
2001-05,16.49,
2001-06,16.49,
2001-07,16.64,
2001-08,16.73,
2001-09,15.48,
2001-10,16.58,
2001-11,15.52,
2001-12,15.97,
2002-01,15.44,
2002-02,16.18,
2002-03,16.69,
2002-04,16.87,
2002-05,15.94,
2002-06,17.16,
2002-07,16.26,
2002-08,17.27,
2002-09,17.07,
2002-10,16.77,
2002-11,17.48,
2002-12,16.93,
2003-01,16.98,
2003-02,16.64,
2003-03,16.89,
2003-04,16.52,
2003-05,16.75,
2003-06,16.58,
2003-07,16.70,
2003-08,16.81,
2003-09,17.49,
2003-10,16.28,
2003-11,16.89,
2003-12,17.22,
2004-01,18.37,
2004-02,17.98,
2004-03,18.39,
2004-04,18.51,
2004-05,19.21,
2004-06,18.53,
2004-07,19.01,
2004-08,18.70,
2004-09,18.66,
2004-10,18.81,
2004-11,19.36,
2004-12,18.73,
2005-01,19.69,
2005-02,19.26,
2005-03,19.20,
2005-04,19.19,
2005-05,20.25,
2005-06,19.75,
2005-07,19.94,
2005-08,20.22,
2005-09,20.65,
2005-10,20.15,
2005-11,20.49,
2005-12,21.23,
2006-01,21.08,
2006-02,21.91,
2006-03,21.65,
2006-04,22.75,
2006-05,22.02,
2006-06,22.38,
2006-07,22.92,
2006-08,23.48,
2006-09,24.52,
2006-10,25.59,
2006-11,25.01,
2006-12,24.82,
2007-01,24.76,
2007-02,24.95,
2007-03,25.13,
2007-04,25.31,
2007-05,25.04,
2007-06,25.52,
2007-07,25.24,
2007-08,25.87,
2007-09,25.42,
2007-10,25.50,
2007-11,25.41,
2007-12,25.09,
2008-01,26.43,
2008-02,25.78,
2008-03,25.90,
2008-04,26.26,
2008-05,25.97,
2008-06,25.96,
2008-07,25.84,
2008-08,25.57,
2008-09,25.91,
2008-10,25.07,
2008-11,21.53,
2008-12,20.19,
