"",BBK01.OEAE02Q,BBK01.OEAE02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:18,
2002-01,4.722,
2002-04,4.805,
2002-07,4.835,
2002-10,4.959,
2003-01,4.969,
2003-04,5.315,
2003-07,5.218,
2003-10,5.409,
2004-01,5.007,
2004-04,3.211,
2004-07,3.226,
2004-10,3.294,
2005-01,3.269,
2005-04,3.299,
2005-07,3.325,
2005-10,3.297,
2006-01,3.346,
2006-04,3.748,
2006-07,3.794,
2006-10,4.039,
2007-01,4.014,
2007-04,4.009,
2007-07,4.053,
2007-10,4.298,
2008-01,4.277,
2008-04,4.389,
2008-07,4.357,
2008-10,4.419,
2009-01,5.883,
2009-04,5.921,
2009-07,6.013,
2009-10,6.019,
2010-01,6.556,
2010-04,6.514,
2010-07,6.277,
2010-10,6.211,
2011-01,5.965,
2011-04,5.632,
2011-07,5.354,
2011-10,5.501,
2012-01,5.505,
2012-04,5.521,
2012-07,5.530,
2012-10,5.756,
2013-01,5.759,
2013-04,5.705,
2013-07,5.688,
2013-10,5.809,
2014-01,5.700,
2014-04,5.756,
2014-07,5.826,
