"",BBK01.CEHK20,BBK01.CEHK20_FLAGS
"",Other equity debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:21,
1991-01,-0.1,
1991-04,0.2,
1991-07,0.1,
1991-10,0.3,
1992-01,0.1,
1992-04,0.1,
1992-07,0.3,
1992-10,1.7,
1993-01,0.8,
1993-04,0.4,
1993-07,-0.5,
1993-10,-0.2,
1994-01,1.2,
1994-04,1.0,
1994-07,0.4,
1994-10,1.3,
1995-01,-6.4,
1995-04,0.5,
1995-07,2.2,
1995-10,0.7,
1996-01,0.2,
1996-04,0.1,
1996-07,0.2,
1996-10,0.2,
1997-01,0.2,
1997-04,0.1,
1997-07,0.8,
1997-10,2.0,
1998-01,2.0,
1998-04,-6.1,
1998-07,0.6,
1998-10,1.3,
1999-01,-0.6,
1999-04,-1.9,
1999-07,0.8,
1999-10,2.8,
2000-01,0.7,
2000-04,0.2,
2000-07,0.4,
2000-10,1.3,
2001-01,-0.4,
2001-04,-2.6,
2001-07,0.3,
2001-10,4.6,
2002-01,1.3,
2002-04,-5.9,
2002-07,4.9,
2002-10,1.0,
2003-01,-2.5,
2003-04,0.6,
2003-07,0.3,
2003-10,-5.7,
2004-01,-1.3,
2004-04,0.8,
2004-07,2.1,
2004-10,0.7,
2005-01,0.4,
2005-04,0.7,
2005-07,2.4,
2005-10,0.4,
2006-01,0.0,
2006-04,-0.3,
2006-07,1.0,
2006-10,-0.6,
2007-01,-3.3,
2007-04,-0.7,
2007-07,0.1,
2007-10,-0.5,
2008-01,2.4,
2008-04,1.9,
2008-07,0.4,
2008-10,0.8,
2009-01,3.1,
2009-04,3.0,
2009-07,0.2,
2009-10,0.7,
2010-01,16.7,
2010-04,-1.4,
2010-07,0.1,
2010-10,0.9,
2011-01,0.4,
2011-04,0.3,
2011-07,0.5,
2011-10,-0.3,
2012-01,0.0,
2012-04,-0.3,
2012-07,0.4,
2012-10,15.4,
2013-01,-1.0,
2013-04,-3.2,
2013-07,-2.2,
2013-10,-2.4,
2014-01,-1.0,
