"",BBFB1.M.N.DE.W1.S1.S1.T.B.SH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Charges for the use of intellectual property / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:38,
1991-01,-143.894,
1991-02,-210.880,
1991-03,-164.145,
1991-04,-121.445,
1991-05,-209.174,
1991-06,-175.263,
1991-07,-130.566,
1991-08,-87.101,
1991-09,-164.552,
1991-10,-123.215,
1991-11,-131.332,
1991-12,-159.404,
1992-01,-307.470,
1992-02,-57.146,
1992-03,-158.775,
1992-04,-144.593,
1992-05,-142.360,
1992-06,-131.972,
1992-07,-185.983,
1992-08,-131.823,
1992-09,-99.923,
1992-10,-178.925,
1992-11,-60.949,
1992-12,-101.069,
1993-01,-272.895,
1993-02,-120.399,
1993-03,-188.105,
1993-04,-187.283,
1993-05,-86.420,
1993-06,-101.615,
1993-07,-167.338,
1993-08,-76.012,
1993-09,-45.808,
1993-10,-262.937,
1993-11,-135.848,
1993-12,-137.870,
1994-01,-194.122,
1994-02,-90.002,
1994-03,-131.138,
1994-04,-159.892,
1994-05,-124.514,
1994-06,-161.864,
1994-07,-149.731,
1994-08,-82.982,
1994-09,-118.801,
1994-10,-198.934,
1994-11,-156.911,
1994-12,-135.992,
1995-01,-178.531,
1995-02,-121.086,
1995-03,-547.690,
1995-04,-137.902,
1995-05,-107.920,
1995-06,-138.118,
1995-07,-124.566,
1995-08,-49.378,
1995-09,-121.643,
1995-10,-149.776,
1995-11,-111.796,
1995-12,-75.482,
1996-01,-190.890,
1996-02,-84.978,
1996-03,-166.055,
1996-04,-151.649,
1996-05,-140.539,
1996-06,-80.330,
1996-07,-90.071,
1996-08,-95.425,
1996-09,-59.826,
1996-10,-101.340,
1996-11,-59.679,
1996-12,-169.161,
1997-01,-176.101,
1997-02,-96.668,
1997-03,-113.690,
1997-04,-113.057,
1997-05,-720.209,
1997-06,-47.439,
1997-07,28.023,
1997-08,-299.581,
1997-09,-43.264,
1997-10,-228.438,
1997-11,-91.277,
1997-12,-60.469,
1998-01,-248.635,
1998-02,-106.682,
1998-03,43.441,
1998-04,-313.111,
1998-05,-132.074,
1998-06,-44.176,
1998-07,-207.195,
1998-08,-107.757,
1998-09,-114.533,
1998-10,-247.288,
1998-11,-151.379,
1998-12,3.934,
1999-01,-189.200,
1999-02,-162.520,
1999-03,-175.941,
1999-04,-164.621,
1999-05,-18.082,
1999-06,-81.944,
1999-07,-182.790,
1999-08,-164.097,
1999-09,-42.459,
1999-10,-156.069,
1999-11,-224.842,
1999-12,-28.399,
2000-01,-326.606,
2000-02,-175.165,
2000-03,-148.967,
2000-04,-178.303,
2000-05,-148.823,
2000-06,5.939,
2000-07,-16.571,
2000-08,-307.566,
2000-09,-141.129,
2000-10,-291.742,
2000-11,-138.373,
2000-12,-162.931,
2001-01,-312.164,
2001-02,-203.954,
2001-03,-82.062,
2001-04,-67.658,
2001-05,-217.155,
2001-06,-62.473,
2001-07,-222.165,
2001-08,-92.382,
2001-09,-84.295,
2001-10,-182.607,
2001-11,-238.699,
2001-12,13.899,
2002-01,-152.989,
2002-02,-62.610,
2002-03,-102.002,
2002-04,-158.404,
2002-05,-84.744,
2002-06,31.183,
2002-07,-12.580,
2002-08,33.032,
2002-09,-7.896,
2002-10,24.658,
2002-11,51.705,
2002-12,163.085,
2003-01,-46.523,
2003-02,-56.891,
2003-03,-65.203,
2003-04,-31.085,
2003-05,-53.234,
2003-06,-70.376,
2003-07,-111.787,
2003-08,-32.999,
2003-09,-90.782,
2003-10,-8.953,
2003-11,-35.177,
2003-12,115.174,
2004-01,30.218,
2004-02,-10.314,
2004-03,-153.386,
2004-04,-74.912,
2004-05,-69.044,
2004-06,26.586,
2004-07,44.840,
2004-08,44.108,
2004-09,81.687,
2004-10,-29.710,
2004-11,-60.260,
2004-12,129.943,
2005-01,961.490,
2005-02,38.231,
2005-03,-155.510,
2005-04,-407.263,
2005-05,17.129,
2005-06,-14.791,
2005-07,-452.687,
2005-08,52.653,
2005-09,-118.528,
2005-10,-590.963,
2005-11,-101.281,
2005-12,-510.519,
2006-01,-602.880,
2006-02,15.440,
2006-03,-121.265,
2006-04,-210.787,
2006-05,-3.734,
2006-06,148.160,
2006-07,-245.282,
2006-08,-109.071,
2006-09,-40.883,
2006-10,-520.857,
2006-11,14.022,
2006-12,132.847,
2007-01,-333.554,
2007-02,57.124,
2007-03,-162.067,
2007-04,-458.138,
2007-05,66.617,
2007-06,189.460,
2007-07,-398.013,
2007-08,12.954,
2007-09,-15.102,
2007-10,-372.348,
2007-11,215.750,
2007-12,298.994,
2008-01,-386.693,
2008-02,91.630,
2008-03,10.815,
2008-04,-342.030,
2008-05,96.722,
2008-06,98.408,
2008-07,-416.000,
2008-08,34.826,
2008-09,175.741,
2008-10,-188.970,
2008-11,64.045,
2008-12,-127.071,
2009-01,-117.736,
2009-02,177.597,
2009-03,-46.283,
2009-04,-233.181,
2009-05,80.537,
2009-06,-76.679,
2009-07,-101.033,
2009-08,166.743,
2009-09,-127.318,
2009-10,-132.951,
2009-11,186.089,
2009-12,344.713,
2010-01,46.348,
2010-02,159.114,
2010-03,-136.409,
2010-04,57.824,
2010-05,183.230,
2010-06,-78.712,
2010-07,-136.327,
2010-08,228.302,
2010-09,27.379,
2010-10,44.332,
2010-11,54.184,
2010-12,421.412,
2011-01,275.904,
2011-02,287.798,
2011-03,-25.402,
2011-04,157.978,
2011-05,317.892,
2011-06,210.453,
2011-07,81.751,
2011-08,114.048,
2011-09,180.008,
2011-10,255.472,
2011-11,272.201,
2011-12,279.268,
2012-01,85.173,
2012-02,209.337,
2012-03,122.790,
2012-04,295.025,
2012-05,129.715,
2012-06,139.842,
2012-07,164.959,
2012-08,114.426,
2012-09,273.958,
2012-10,343.663,
2012-11,235.132,
2012-12,639.430,
2013-01,157.822,
2013-02,219.609,
2013-03,272.474,
2013-04,293.459,
2013-05,266.585,
2013-06,78.021,
2013-07,229.171,
2013-08,460.201,
2013-09,104.706,
2013-10,323.397,
2013-11,520.009,
2013-12,453.442,
2014-01,276.099,
2014-02,425.843,Provisional value
2014-03,347.256,Provisional value
2014-04,396.630,Provisional value
2014-05,450.797,Provisional value
2014-06,100.008,Provisional value
2014-07,333.635,Provisional value
2014-08,313.847,Provisional value
2014-09,212.881,
2014-10,348.390,
2014-11,376.340,
2014-12,569.713,Provisional value
