"",BBK01.OEBL02J,BBK01.OEBL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:07,
2002-01,0.585,
2002-04,0.668,
2002-07,0.635,
2002-10,0.683,
2003-01,0.713,
2003-04,0.734,
2003-07,0.741,
2003-10,0.765,
2004-01,0.763,
2004-04,0.781,
2004-07,0.775,
2004-10,0.785,
2005-01,0.906,
2005-04,0.936,
2005-07,0.970,
2005-10,0.998,
2006-01,1.035,
2006-04,1.013,
2006-07,0.943,
2006-10,0.992,
2007-01,0.995,
2007-04,1.047,
2007-07,1.034,
2007-10,1.061,
2008-01,1.060,
2008-04,1.061,
2008-07,1.070,
2008-10,1.220,
2009-01,1.343,
2009-04,1.382,
2009-07,1.366,
2009-10,1.383,
2010-01,1.395,
2010-04,1.421,
2010-07,1.412,
2010-10,1.445,
2011-01,1.412,
2011-04,1.432,
2011-07,1.455,
2011-10,1.487,
2012-01,1.479,
2012-04,1.476,
2012-07,1.463,
2012-10,1.527,
2013-01,1.554,
2013-04,1.559,
2013-07,1.571,
2013-10,1.632,
2014-01,1.608,
2014-04,1.737,
2014-07,1.725,
