"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:32,
1991-01,377.975,
1991-04,24.558,
1991-07,-36.734,
1991-10,-6.868,
1992-01,77.479,
1992-04,3.169,
1992-07,120.722,
1992-10,-23.138,
1993-01,-90.714,
1993-04,-4.817,
1993-07,13.390,
1993-10,-3.679,
1994-01,57.100,
1994-04,38.776,
1994-07,-96.293,
1994-10,-15.593,
1995-01,-200.461,
1995-04,112.107,
1995-07,16.952,
1995-10,-1.242,
1996-01,-19.033,
1996-04,12.869,
1996-07,-24.032,
1996-10,-3.354,
1997-01,73.985,
1997-04,142.246,
1997-07,-44.201,
1997-10,22.055,
1998-01,25.168,
1998-04,27.819,
1998-07,43.940,
1998-10,83.241,
1999-01,125.143,
1999-04,4.976,
1999-07,35.877,
1999-10,113.196,
2000-01,10.858,
2000-04,-94.959,
2000-07,282.338,
2000-10,148.690,
2001-01,3.900,
2001-04,145.915,
2001-07,-152.310,
2001-10,-47.546,
2002-01,-15.591,
2002-04,-42.608,
2002-07,35.849,
2002-10,50.444,
2003-01,14.989,
2003-04,-41.762,
2003-07,-35.256,
2003-10,-235.561,
2004-01,-181.545,
2004-04,-59.961,
2004-07,164.736,
2004-10,76.593,
2005-01,-24.433,
2005-04,218.827,
2005-07,145.866,
2005-10,293.254,
2006-01,145.713,
2006-04,288.929,
2006-07,-135.475,
2006-10,27.289,
2007-01,27.888,
2007-04,149.759,
2007-07,259.440,
2007-10,264.889,
2008-01,165.811,
2008-04,163.383,
2008-07,195.843,
2008-10,96.002,
2009-01,105.896,
2009-04,-153.951,
2009-07,-85.131,
2009-10,-198.100,
2010-01,-80.768,
2010-04,5.881,
2010-07,-195.062,
2010-10,956.136,
2011-01,-234.393,
2011-04,-107.556,
2011-07,268.324,
2011-10,-46.416,
2012-01,44.238,
2012-04,-18.781,
2012-07,-136.017,
2012-10,-47.902,
2013-01,-145.868,
2013-04,-5.994,
2013-07,2.163,
2013-10,-80.357,
2014-01,-134.104,Provisional value
2014-04,142.667,Provisional value
2014-07,-23.591,Provisional value
2014-10,-62.468,Provisional value
