"",BBFB1.M.N.DE.W1.S1W.S1.T.D.D9._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D9._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Capital transfers / All sectors excluding General government / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:24,
1991-01,90.738,
1991-02,64.792,
1991-03,74.140,
1991-04,60.118,
1991-05,78.319,
1991-06,78.345,
1991-07,76.153,
1991-08,92.959,
1991-09,67.265,
1991-10,75.631,
1991-11,76.612,
1991-12,144.906,
1992-01,101.890,
1992-02,75.391,
1992-03,71.409,
1992-04,74.869,
1992-05,91.882,
1992-06,73.909,
1992-07,95.444,
1992-08,76.715,
1992-09,81.917,
1992-10,91.102,
1992-11,74.482,
1992-12,194.954,
1993-01,96.246,
1993-02,89.114,
1993-03,88.576,
1993-04,79.531,
1993-05,106.825,
1993-06,78.518,
1993-07,80.159,
1993-08,90.622,
1993-09,83.323,
1993-10,85.523,
1993-11,177.286,
1993-12,191.524,
1994-01,80.188,
1994-02,99.895,
1994-03,85.190,
1994-04,100.925,
1994-05,161.769,
1994-06,88.722,
1994-07,95.161,
1994-08,129.330,
1994-09,86.021,
1994-10,455.209,
1994-11,167.039,
1994-12,172.762,
1995-01,101.463,
1995-02,100.201,
1995-03,109.075,
1995-04,97.140,
1995-05,78.805,
1995-06,136.381,
1995-07,83.725,
1995-08,85.770,
1995-09,78.737,
1995-10,90.296,
1995-11,95.005,
1995-12,285.668,
1996-01,165.071,
1996-02,352.764,
1996-03,108.999,
1996-04,76.221,
1996-05,107.687,
1996-06,108.608,
1996-07,90.421,
1996-08,688.008,
1996-09,390.101,
1996-10,384.702,
1996-11,96.722,
1996-12,271.287,
1997-01,470.932,
1997-02,98.982,
1997-03,111.267,
1997-04,92.173,
1997-05,133.114,
1997-06,112.762,
1997-07,100.125,
1997-08,111.720,
1997-09,95.402,
1997-10,106.560,
1997-11,93.395,
1997-12,102.867,
1998-01,115.985,
1998-02,114.208,
1998-03,98.120,
1998-04,97.989,
1998-05,121.697,
1998-06,123.822,
1998-07,108.871,
1998-08,118.879,
1998-09,97.684,
1998-10,107.282,
1998-11,83.027,
1998-12,1192.666,
1999-01,114.518,
1999-02,131.741,
1999-03,96.449,
1999-04,110.120,
1999-05,106.760,
1999-06,91.475,
1999-07,548.695,
1999-08,118.158,
1999-09,152.957,
1999-10,114.878,
1999-11,146.115,
1999-12,901.091,
2000-01,110.382,
2000-02,91.518,
2000-03,153.164,
2000-04,140.139,
2000-05,107.187,
2000-06,437.171,
2000-07,111.425,
2000-08,575.142,
2000-09,455.467,
2000-10,122.665,
2000-11,107.840,
2000-12,1238.966,
2001-01,90.982,
2001-02,83.051,
2001-03,90.887,
2001-04,81.126,
2001-05,73.036,
2001-06,91.260,
2001-07,136.260,
2001-08,101.122,
2001-09,3490.325,
2001-10,99.929,
2001-11,80.133,
2001-12,87.382,
2002-01,91.986,
2002-02,90.060,
2002-03,94.411,
2002-04,89.049,
2002-05,76.837,
2002-06,74.962,
2002-07,98.021,
2002-08,79.786,
2002-09,81.667,
2002-10,86.845,
2002-11,74.174,
2002-12,3506.342,
2003-01,92.036,
2003-02,422.601,
2003-03,61.043,
2003-04,72.424,
2003-05,77.967,
2003-06,58.251,
2003-07,86.550,
2003-08,85.727,
2003-09,116.393,
2003-10,99.302,
2003-11,60.940,
2003-12,-4759.349,
2004-01,78.440,
2004-02,122.842,
2004-03,105.533,
2004-04,83.481,
2004-05,66.961,
2004-06,88.519,
2004-07,198.561,
2004-08,71.290,
2004-09,73.570,
2004-10,74.197,
2004-11,73.920,
2004-12,610.873,
2005-01,109.609,
2005-02,111.405,
2005-03,106.160,
2005-04,325.298,
2005-05,110.718,
2005-06,99.453,
2005-07,88.142,
2005-08,129.703,
2005-09,1583.907,
2005-10,69.980,
2005-11,95.938,
2005-12,99.598,
2006-01,195.748,
2006-02,88.114,
2006-03,107.242,
2006-04,95.169,
2006-05,150.566,
2006-06,100.039,
2006-07,102.120,
2006-08,90.650,
2006-09,99.045,
2006-10,84.533,
2006-11,94.431,
2006-12,1268.322,
2007-01,111.402,
2007-02,95.185,
2007-03,79.258,
2007-04,158.682,
2007-05,85.856,
2007-06,96.065,
2007-07,144.316,
2007-08,90.272,
2007-09,80.270,
2007-10,102.900,
2007-11,130.438,
2007-12,1048.676,
2008-01,124.261,
2008-02,96.671,
2008-03,408.687,
2008-04,107.505,
2008-05,79.482,
2008-06,105.411,
2008-07,200.504,
2008-08,91.024,
2008-09,90.458,
2008-10,116.443,
2008-11,90.001,
2008-12,516.068,
2009-01,108.894,
2009-02,86.235,
2009-03,78.330,
2009-04,100.494,
2009-05,90.916,
2009-06,144.373,
2009-07,124.232,
2009-08,86.971,
2009-09,96.095,
2009-10,95.111,
2009-11,99.552,
2009-12,3346.628,
2010-01,395.776,
2010-02,108.000,
2010-03,116.325,
2010-04,95.186,
2010-05,114.859,
2010-06,103.342,
2010-07,101.047,
