"",BBK01.OEBJ01N,BBK01.OEBJ01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:05,
2002-01,35.103,
2002-04,36.399,
2002-07,37.043,
2002-10,42.018,
2003-01,40.622,
2003-04,39.403,
2003-07,37.281,
2003-10,40.960,
2004-01,39.906,
2004-04,38.074,
2004-07,39.165,
2004-10,30.372,
2005-01,33.844,
2005-04,36.385,
2005-07,35.825,
2005-10,37.775,
2006-01,36.519,
2006-04,38.530,
2006-07,37.716,
2006-10,42.676,
2007-01,41.597,
2007-04,42.377,
2007-07,46.470,
2007-10,47.688,
2008-01,47.947,
2008-04,47.736,
2008-07,50.055,
2008-10,58.769,
2009-01,56.452,
2009-04,58.549,
2009-07,64.991,
2009-10,64.129,
2010-01,54.407,
2010-04,63.454,
2010-07,58.433,
2010-10,62.587,
2011-01,56.250,
2011-04,66.026,
2011-07,61.685,
2011-10,75.408,
2012-01,59.945,
2012-04,71.885,
2012-07,65.935,
2012-10,60.552,
2013-01,61.711,
2013-04,61.136,
2013-07,61.643,
2013-10,61.562,
2014-01,62.599,
2014-04,58.540,
2014-07,63.046,
