"",BBK01.OEYB10V,BBK01.OEYB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:04,
2002-01,0.551,
2002-04,0.584,
2002-07,0.492,
2002-10,0.615,
2003-01,0.698,
2003-04,0.690,
2003-07,0.412,
2003-10,0.509,
2004-01,0.516,
2004-04,0.555,
2004-07,0.490,
2004-10,0.525,
2005-01,0.495,
2005-04,0.542,
2005-07,0.712,
2005-10,0.623,
2006-01,0.652,
2006-04,0.479,
2006-07,0.468,
2006-10,0.414,
2007-01,0.429,
2007-04,0.413,
2007-07,0.409,
2007-10,0.476,
2008-01,0.484,
2008-04,0.231,
2008-07,0.257,
2008-10,0.209,
2009-01,0.172,
2009-04,0.155,
2009-07,0.140,
2009-10,0.259,
2010-01,0.243,
2010-04,0.351,
2010-07,0.309,
2010-10,0.342,
2011-01,0.272,
2011-04,0.290,
2011-07,0.285,
2011-10,0.360,
2012-01,0.293,
2012-04,0.319,
2012-07,0.326,
2012-10,0.256,
2013-01,0.271,
2013-04,0.285,
2013-07,0.311,
2013-10,0.267,
2014-01,0.223,
2014-04,0.240,
2014-07,0.317,
