"",BBK01.OEAE10O,BBK01.OEAE10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:52,
2002-01,3.282,
2002-04,3.284,
2002-07,3.263,
2002-10,3.095,
2003-01,2.892,
2003-04,2.874,
2003-07,2.839,
2003-10,2.803,
2004-01,2.693,
2004-04,2.586,
2004-07,2.577,
2004-10,2.618,
2005-01,2.600,
2005-04,2.560,
2005-07,2.640,
2005-10,2.268,
2006-01,2.353,
2006-04,2.471,
2006-07,2.498,
2006-10,2.446,
2007-01,2.552,
2007-04,2.629,
2007-07,2.748,
2007-10,2.653,
2008-01,2.799,
2008-04,2.733,
2008-07,2.553,
2008-10,2.261,
2009-01,2.259,
2009-04,2.104,
2009-07,1.949,
2009-10,1.825,
2010-01,3.057,
2010-04,2.242,
2010-07,2.273,
2010-10,2.235,
2011-01,2.020,
2011-04,1.917,
2011-07,1.898,
2011-10,1.911,
2012-01,1.943,
2012-04,1.978,
2012-07,1.875,
2012-10,1.932,
2013-01,1.949,
2013-04,1.914,
2013-07,2.214,
2013-10,2.221,
2014-01,2.303,
2014-04,2.216,
2014-07,2.008,
