"",BBK01.OEAA19M,BBK01.OEAA19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:45,
2002-01,17.040,
2002-04,17.426,
2002-07,16.736,
2002-10,15.767,
2003-01,16.405,
2003-04,16.104,
2003-07,15.413,
2003-10,14.374,
2004-01,14.579,
2004-04,15.070,
2004-07,14.847,
2004-10,14.180,
2005-01,15.384,
2005-04,15.468,
2005-07,13.511,
2005-10,12.642,
2006-01,13.441,
2006-04,13.739,
2006-07,13.660,
2006-10,14.171,
2007-01,13.782,
2007-04,14.718,
2007-07,15.091,
2007-10,15.502,
2008-01,16.270,
2008-04,15.902,
2008-07,15.606,
2008-10,16.325,
2009-01,17.615,
2009-04,16.918,
2009-07,15.256,
2009-10,13.989,
2010-01,14.781,
2010-04,12.815,
2010-07,12.837,
2010-10,13.591,
2011-01,13.770,
2011-04,15.238,
2011-07,14.010,
2011-10,14.166,
2012-01,13.471,
2012-04,13.303,
2012-07,13.804,
2012-10,12.865,
2013-01,13.598,
2013-04,13.295,
2013-07,13.154,
2013-10,12.686,
2014-01,12.529,
2014-04,12.851,
2014-07,14.206,
