"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Belgium,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:33,
2009-09,867,
2009-10,916,
2009-11,941,
2009-12,917,
2010-01,985,
2010-02,1016,
2010-03,1060,
2010-04,1101,
2010-05,1072,
2010-06,1063,
2010-07,1089,
2010-08,1084,
2010-09,1364,
2010-10,1267,
2010-11,1180,
2010-12,1004,
2011-01,887,
2011-02,942,
2011-03,1011,
2011-04,962,
2011-05,980,
2011-06,962,
2011-07,926,
2011-08,995,
2011-09,1057,
2011-10,982,
2011-11,927,
2011-12,953,
2012-01,960,
2012-02,947,
2012-03,1046,
2012-04,1042,
2012-05,1083,
2012-06,1127,
2012-07,1150,
2012-08,1183,
2012-09,1276,
2012-10,1279,
2012-11,1310,
2012-12,1430,
2013-01,1339,
2013-02,1398,
2013-03,1358,
2013-04,1459,
2013-05,1470,
2013-06,1485,
2013-07,1587,
2013-08,1588,
2013-09,1653,
2013-10,1666,
2013-11,1657,
2013-12,1906,
2014-01,2079,
2014-02,2165,
2014-03,2183,
2014-04,2293,
2014-05,2274,
2014-06,2176,
2014-07,2173,
2014-08,2241,
2014-09,2207,
2014-10,2307,
2014-11,2155,
