"",BBDE1.M.DE.Y.AEA1.P2XF00000.B2.C.I10.A,BBDE1.M.DE.Y.AEA1.P2XF00000.B2.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Main construction industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:16,
1991-01,146.4,
1991-02,147.5,
1991-03,154.8,
1991-04,151.2,
1991-05,155.0,
1991-06,158.9,
1991-07,157.7,
1991-08,163.0,
1991-09,174.3,
1991-10,162.3,
1991-11,163.1,
1991-12,157.3,
1992-01,166.6,
1992-02,177.1,
1992-03,172.1,
1992-04,167.6,
1992-05,165.3,
1992-06,169.9,
1992-07,161.1,
1992-08,161.2,
1992-09,165.0,
1992-10,166.8,
1992-11,166.2,
1992-12,187.0,
1993-01,174.5,
1993-02,167.9,
1993-03,175.5,
1993-04,171.3,
1993-05,168.0,
1993-06,168.8,
1993-07,176.7,
1993-08,175.1,
1993-09,171.4,
1993-10,187.7,
1993-11,186.4,
1993-12,185.1,
1994-01,201.5,
1994-02,184.3,
1994-03,188.7,
1994-04,188.6,
1994-05,188.1,
1994-06,183.0,
1994-07,179.3,
1994-08,184.0,
1994-09,182.4,
1994-10,188.2,
1994-11,200.4,
1994-12,199.1,
1995-01,198.7,
1995-02,187.4,
1995-03,181.6,
1995-04,180.9,
1995-05,175.0,
1995-06,176.4,
1995-07,179.3,
1995-08,177.3,
1995-09,184.3,
1995-10,176.5,
1995-11,186.2,
1995-12,167.3,
1996-01,175.6,
1996-02,167.1,
1996-03,161.8,
1996-04,159.8,
1996-05,167.6,
1996-06,171.0,
1996-07,168.1,
1996-08,173.2,
1996-09,168.6,
1996-10,166.9,
1996-11,162.7,
1996-12,165.3,
1997-01,154.4,
1997-02,170.9,
1997-03,156.2,
1997-04,150.0,
1997-05,158.9,
1997-06,156.6,
1997-07,153.6,
1997-08,157.7,
1997-09,154.9,
1997-10,155.4,
1997-11,147.9,
1997-12,154.1,
1998-01,151.7,
1998-02,157.9,
1998-03,158.3,
1998-04,157.9,
1998-05,155.2,
1998-06,155.9,
1998-07,163.8,
1998-08,154.7,
1998-09,164.5,
1998-10,155.0,
1998-11,157.9,
1998-12,151.9,
1999-01,165.0,
1999-02,165.2,
1999-03,155.1,
1999-04,159.6,
1999-05,162.0,
1999-06,155.8,
1999-07,160.0,
1999-08,155.0,
1999-09,151.5,
1999-10,153.4,
1999-11,140.9,
1999-12,145.6,
2000-01,150.9,
2000-02,145.9,
2000-03,151.6,
2000-04,148.2,
2000-05,145.7,
2000-06,138.5,
2000-07,140.1,
2000-08,131.9,
2000-09,137.7,
2000-10,136.8,
2000-11,135.4,
2000-12,142.1,
2001-01,136.3,
2001-02,136.9,
2001-03,135.5,
2001-04,139.5,
2001-05,142.7,
2001-06,143.2,
2001-07,129.5,
2001-08,134.7,
2001-09,129.3,
2001-10,129.1,
2001-11,132.7,
2001-12,123.9,
2002-01,129.4,
2002-02,134.7,
2002-03,146.0,
2002-04,131.7,
2002-05,124.3,
2002-06,126.6,
2002-07,122.1,
2002-08,120.1,
2002-09,125.8,
2002-10,119.1,
2002-11,123.5,
2002-12,124.1,
2003-01,118.7,
2003-02,118.1,
2003-03,116.1,
2003-04,114.6,
2003-05,111.4,
2003-06,113.4,
2003-07,117.7,
2003-08,111.1,
2003-09,112.6,
2003-10,113.4,
2003-11,113.9,
2003-12,109.6,
2004-01,110.3,
2004-02,120.8,
2004-03,106.2,
2004-04,106.7,
2004-05,100.3,
2004-06,105.3,
2004-07,101.3,
2004-08,103.4,
2004-09,104.1,
2004-10,105.1,
2004-11,99.4,
2004-12,107.0,
2005-01,95.1,
2005-02,93.1,
2005-03,100.9,
2005-04,95.5,
2005-05,102.3,
2005-06,102.6,
2005-07,103.2,
2005-08,109.1,
2005-09,107.7,
2005-10,104.8,
2005-11,107.7,
2005-12,115.5,
2006-01,101.1,
2006-02,104.3,
2006-03,103.4,
2006-04,107.8,
2006-05,110.6,
2006-06,106.9,
2006-07,108.5,
2006-08,107.5,
2006-09,107.0,
2006-10,104.0,
2006-11,108.9,
2006-12,105.2,
2007-01,114.8,
2007-02,107.6,
2007-03,111.7,
2007-04,111.6,
2007-05,110.2,
2007-06,105.4,
2007-07,110.8,
2007-08,103.0,
2007-09,107.0,
2007-10,126.6,
2007-11,115.7,
2007-12,111.0,
2008-01,126.4,
2008-02,106.3,
2008-03,110.6,
2008-04,108.6,
2008-05,104.3,
2008-06,105.8,
2008-07,110.5,
2008-08,100.6,
2008-09,106.1,
2008-10,100.6,
2008-11,98.9,
2008-12,97.7,
2009-01,98.8,
2009-02,89.6,
2009-03,93.3,
2009-04,98.6,
2009-05,99.7,
2009-06,99.8,
2009-07,100.6,
2009-08,102.8,
2009-09,100.7,
2009-10,101.3,
2009-11,97.9,
2009-12,105.6,
2010-01,93.6,
2010-02,105.5,
2010-03,104.4,
2010-04,100.0,
2010-05,99.1,
2010-06,98.0,
2010-07,99.7,
2010-08,100.7,
2010-09,100.6,
2010-10,104.6,
2010-11,97.9,
2010-12,93.9,
2011-01,97.4,
2011-02,104.3,
2011-03,106.6,
2011-04,104.2,
2011-05,105.9,
2011-06,102.3,
2011-07,107.7,
2011-08,102.7,
2011-09,102.8,
2011-10,100.8,
2011-11,109.3,
2011-12,106.8,
2012-01,108.9,
2012-02,112.8,
2012-03,113.8,
2012-04,111.4,
2012-05,105.3,
2012-06,104.2,
2012-07,104.0,
2012-08,111.5,
2012-09,104.4,
2012-10,126.7,
2012-11,101.0,
2012-12,101.4,
2013-01,108.9,
2013-02,112.2,
2013-03,107.6,
2013-04,108.3,
2013-05,109.7,
2013-06,114.9,
2013-07,116.5,
2013-08,108.5,
2013-09,108.6,
2013-10,110.5,
2013-11,115.1,
2013-12,114.4,
2014-01,118.9,
2014-02,115.4,
2014-03,111.8,
2014-04,115.0,
2014-05,110.2,
2014-06,103.0,
2014-07,110.5,
2014-08,105.3,
2014-09,104.5,
2014-10,105.4,
2014-11,106.0,
2014-12,107.7,
