"",BBSF2.M.1.P.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Distribution of earnings,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:56,
2004-01,-,Nothing exists
2004-02,3,
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,18,
2004-06,-,Nothing exists
2004-07,0,
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,26,
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,3,
2005-03,0,
2005-04,-,Nothing exists
2005-05,14,
2005-06,-,Nothing exists
2005-07,0,
2005-08,1,
2005-09,0,
2005-10,-,Nothing exists
2005-11,30,
2005-12,1,
2006-01,0,
2006-02,4,
2006-03,2,
2006-04,-,Nothing exists
2006-05,22,
2006-06,-,Nothing exists
2006-07,0,
2006-08,-,Nothing exists
2006-09,0,
2006-10,0,
2006-11,55,
2006-12,3,
2007-01,2,
2007-02,6,
2007-03,0,
2007-04,-,Nothing exists
2007-05,33,
2007-06,-,Nothing exists
2007-07,0,
2007-08,2,
2007-09,55,
2007-10,3,
2007-11,45,
2007-12,4,
2008-01,2,
2008-02,9,
2008-03,8,
2008-04,0,
2008-05,18,
2008-06,26,
2008-07,5,
2008-08,6,
2008-09,0,
2008-10,5,
2008-11,56,
2008-12,5,
2009-01,14,
2009-02,10,
2009-03,14,
2009-04,3,
2009-05,30,
2009-06,31,
2009-07,1,
2009-08,8,
2009-09,0,
2009-10,8,
2009-11,51,
2009-12,8,
2010-01,7,
2010-02,17,
2010-03,18,
2010-04,4,
2010-05,21,
2010-06,25,
2010-07,9,
2010-08,8,
2010-09,0,
2010-10,14,
2010-11,36,
2010-12,39,
2011-01,11,
2011-02,24,
2011-03,20,
2011-04,4,
2011-05,22,
2011-06,22,
2011-07,8,
2011-08,9,
2011-09,1,
2011-10,12,
2011-11,31,
2011-12,24,
2012-01,12,
2012-02,22,
2012-03,19,
2012-04,2,
2012-05,21,
2012-06,15,
2012-07,6,
2012-08,12,
2012-09,1,
2012-10,9,
2012-11,26,
2012-12,14,
2013-01,16,
2013-02,30,
2013-03,19,
2013-04,2,
2013-05,13,
2013-06,23,
2013-07,5,
2013-08,7,
2013-09,19,
2013-10,14,
2013-11,4,
2013-12,15,
2014-01,23,
2014-02,37,
2014-03,17,
2014-04,1,
2014-05,12,
2014-06,28,
2014-07,9,
2014-08,6,
2014-09,4,
2014-10,14,
2014-11,5,
