"",BBK01.OEAH85R,BBK01.OEAH85R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:02,
2002-01,0.023,
2002-04,0.025,
2002-07,0.023,
2002-10,0.028,
2003-01,0.019,
2003-04,0.022,
2003-07,0.024,
2003-10,0.029,
2004-01,0.027,
2004-04,0.027,
2004-07,0.029,
2004-10,0.029,
2005-01,0.027,
2005-04,0.027,
2005-07,0.030,
2005-10,0.033,
2006-01,0.025,
2006-04,0.026,
2006-07,0.029,
2006-10,0.028,
2007-01,0.028,
2007-04,0.030,
2007-07,0.040,
2007-10,0.044,
2008-01,0.058,
2008-04,0.046,
2008-07,0.046,
2008-10,0.040,
2009-01,0.037,
2009-04,0.043,
2009-07,0.042,
2009-10,0.041,
2010-01,0.044,
2010-04,0.044,
2010-07,0.051,
2010-10,0.046,
2011-01,0.051,
2011-04,0.048,
2011-07,0.052,
2011-10,0.049,
2012-01,0.051,
2012-04,0.055,
2012-07,0.058,
2012-10,0.059,
2013-01,0.063,
2013-04,0.058,
2013-07,0.061,
2013-10,0.067,
2014-01,0.073,
2014-04,0.071,
2014-07,0.076,
