"",BBK01.OEXB11I,BBK01.OEXB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:12,
2002-01,0.944,
2002-04,0.923,
2002-07,0.879,
2002-10,0.806,
2003-01,0.677,
2003-04,0.818,
2003-07,0.597,
2003-10,0.589,
2004-01,0.580,
2004-04,0.536,
2004-07,0.512,
2004-10,0.804,
2005-01,0.892,
2005-04,0.922,
2005-07,0.938,
2005-10,0.578,
2006-01,0.571,
2006-04,0.590,
2006-07,0.453,
2006-10,0.552,
2007-01,0.516,
2007-04,0.512,
2007-07,0.520,
2007-10,0.374,
2008-01,0.421,
2008-04,0.560,
2008-07,0.634,
2008-10,0.630,
2009-01,0.632,
2009-04,0.615,
2009-07,0.590,
2009-10,0.546,
2010-01,0.579,
2010-04,0.591,
2010-07,0.661,
2010-10,0.698,
2011-01,0.694,
2011-04,0.688,
2011-07,0.639,
2011-10,0.843,
2012-01,0.908,
2012-04,0.643,
2012-07,0.637,
2012-10,0.637,
2013-01,0.656,
2013-04,0.637,
2013-07,0.607,
2013-10,0.597,
2014-01,0.499,
2014-04,0.491,
2014-07,0.487,
