"",BBK01.OEHB12P,BBK01.OEHB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:37,
2002-01,1.065,
2002-04,1.070,
2002-07,1.072,
2002-10,1.097,
2003-01,1.125,
2003-04,1.108,
2003-07,1.119,
2003-10,1.147,
2004-01,1.125,
2004-04,1.132,
2004-07,1.122,
2004-10,1.144,
2005-01,1.137,
2005-04,1.146,
2005-07,1.143,
2005-10,1.129,
2006-01,1.130,
2006-04,1.130,
2006-07,1.161,
2006-10,1.174,
2007-01,1.180,
2007-04,1.200,
2007-07,1.234,
2007-10,1.220,
2008-01,1.220,
2008-04,1.262,
2008-07,1.314,
2008-10,1.358,
2009-01,1.394,
2009-04,1.401,
2009-07,1.428,
2009-10,1.436,
2010-01,1.427,
2010-04,1.451,
2010-07,1.465,
2010-10,1.523,
2011-01,1.516,
2011-04,1.530,
2011-07,1.546,
2011-10,1.583,
2012-01,1.610,
2012-04,1.676,
2012-07,1.727,
2012-10,1.770,
2013-01,1.828,
2013-04,1.862,
2013-07,1.866,
2013-10,1.879,
2014-01,1.859,
2014-04,1.860,
2014-07,1.899,
