"",BBK01.CEF404,BBK01.CEF404_FLAGS
"",Loans                       debtor: Total                                                                  creditor: Central bank,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:01,
1999-01,33.1,
1999-04,25.1,
1999-07,38.9,
1999-10,52.1,
2000-01,26.7,
2000-04,47.1,
2000-07,28.8,
2000-10,10.1,
2001-01,26.2,
2001-04,7.2,
2001-07,20.7,
2001-10,-13.9,
2002-01,4.6,
2002-04,4.8,
2002-07,23.2,
2002-10,22.0,
2003-01,18.4,
2003-04,-2.1,
2003-07,13.4,
2003-10,21.5,
2004-01,27.6,
2004-04,-4.4,
2004-07,27.0,
2004-10,24.4,
2005-01,29.2,
2005-04,13.7,
2005-07,23.4,
2005-10,46.4,
2006-01,19.2,
2006-04,4.7,
2006-07,31.9,
2006-10,22.0,
2007-01,37.6,
2007-04,34.2,
2007-07,64.1,
2007-10,87.7,
2008-01,103.6,
2008-04,112.1,
2008-07,116.6,
2008-10,132.3,
2009-01,167.4,
2009-04,186.8,
2009-07,194.7,
2009-10,193.6,
2010-01,222.8,
2010-04,264.8,
2010-07,325.4,
2010-10,341.0,
2011-01,338.6,
2011-04,353.6,
2011-07,467.4,
2011-10,481.9,
2012-01,634.3,
2012-04,747.5,
2012-07,714.3,
2012-10,674.6,
2013-01,608.1,
2013-04,594.8,
2013-07,589.6,
2013-10,529.5,
2014-01,488.8,
2014-04,480.7,
2014-07,499.0,
