"",BBK01.OEAD06S,BBK01.OEAD06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:50,
2002-01,0.076,
2002-04,0.075,
2002-07,0.070,
2002-10,0.061,
2003-01,0.058,
2003-04,0.061,
2003-07,0.062,
2003-10,0.068,
2004-01,0.063,
2004-04,0.065,
2004-07,0.061,
2004-10,0.061,
2005-01,0.062,
2005-04,0.059,
2005-07,0.060,
2005-10,0.058,
2006-01,0.057,
2006-04,0.060,
2006-07,0.060,
2006-10,0.052,
2007-01,0.053,
2007-04,0.060,
2007-07,0.058,
2007-10,0.051,
2008-01,0.054,
2008-04,0.055,
2008-07,0.069,
2008-10,0.071,
2009-01,0.089,
2009-04,0.100,
2009-07,0.110,
2009-10,0.104,
2010-01,0.111,
2010-04,0.107,
2010-07,0.109,
2010-10,0.100,
2011-01,0.113,
2011-04,0.121,
2011-07,0.123,
2011-10,0.121,
2012-01,0.128,
2012-04,0.118,
2012-07,0.103,
2012-10,0.106,
2013-01,0.115,
2013-04,0.122,
2013-07,0.143,
2013-10,0.135,
2014-01,0.142,
2014-04,0.149,
2014-07,0.153,
