"",BBK01.OEAP03S,BBK01.OEAP03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:03,
2002-01,4.816,
2002-04,4.803,
2002-07,3.513,
2002-10,2.965,
2003-01,2.765,
2003-04,2.474,
2003-07,2.637,
2003-10,2.184,
2004-01,2.108,
2004-04,2.028,
2004-07,1.621,
2004-10,1.425,
2005-01,1.316,
2005-04,1.365,
2005-07,1.275,
2005-10,1.112,
2006-01,0.922,
2006-04,1.050,
2006-07,0.977,
2006-10,0.823,
2007-01,0.870,
2007-04,0.936,
2007-07,0.805,
2007-10,0.815,
2008-01,0.746,
2008-04,0.755,
2008-07,0.539,
2008-10,0.491,
2009-01,0.505,
2009-04,0.592,
2009-07,0.352,
2009-10,0.405,
2010-01,0.322,
2010-04,0.368,
2010-07,0.284,
2010-10,0.244,
2011-01,0.360,
2011-04,0.251,
2011-07,0.319,
2011-10,0.196,
2012-01,0.130,
2012-04,0.152,
2012-07,0.150,
2012-10,0.128,
2013-01,0.157,
2013-04,0.102,
2013-07,0.122,
2013-10,0.101,
2014-01,0.083,
2014-04,0.085,
2014-07,0.109,
