"",BBAI3.Q.DE.N.V.LE.N.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:49,
2005-10,17024,
2006-01,17235,
2006-04,17371,
2006-07,17391,
2006-10,17661,
2007-01,17538,
2007-04,17510,
2007-07,17509,
2007-10,17784,
2008-01,17517,
2008-04,17484,
2008-07,17525,
2008-10,17532,
2009-01,17810,
2009-04,18102,
2009-07,18407,
2009-10,19060,
2010-01,19506,
2010-04,19941,
2010-07,20407,
2010-10,21131,
2011-01,21236,
2011-04,21383,
2011-07,21510,
2011-10,21682,
2012-01,21973,
2012-04,22221,
2012-07,22535,
2012-10,22986,
2013-01,23429,
2013-04,23587,
2013-07,23910,
2013-10,25758,
2014-01,26258,
2014-04,26531,
2014-07,26740,
