"",BBK01.CEHF0N,BBK01.CEHF0N_FLAGS
"",longer-term loans debtor: All sectors                     creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:28,
1991-01,1.2,
1991-04,-0.1,
1991-07,0.9,
1991-10,1.1,
1992-01,0.4,
1992-04,0.3,
1992-07,0.6,
1992-10,3.2,
1993-01,1.0,
1993-04,1.5,
1993-07,2.1,
1993-10,1.5,
1994-01,-3.2,
1994-04,0.6,
1994-07,-0.1,
1994-10,1.4,
1995-01,1.8,
1995-04,-0.1,
1995-07,1.4,
1995-10,0.5,
1996-01,-1.7,
1996-04,0.1,
1996-07,2.2,
1996-10,1.2,
1997-01,-0.7,
1997-04,-1.4,
1997-07,1.5,
1997-10,1.1,
1998-01,3.3,
1998-04,3.7,
1998-07,2.8,
1998-10,3.3,
1999-01,0.0,
1999-04,4.9,
1999-07,8.0,
1999-10,4.4,
2000-01,-6.7,
2000-04,3.7,
2000-07,17.3,
2000-10,39.4,
2001-01,10.6,
2001-04,7.8,
2001-07,23.5,
2001-10,8.5,
2002-01,4.8,
2002-04,23.8,
2002-07,8.8,
2002-10,8.3,
2003-01,2.5,
2003-04,13.4,
2003-07,4.9,
2003-10,-17.6,
2004-01,-27.2,
2004-04,7.5,
2004-07,-10.2,
2004-10,-12.5,
2005-01,11.5,
2005-04,2.1,
2005-07,0.0,
2005-10,5.3,
2006-01,14.9,
2006-04,9.2,
2006-07,3.1,
2006-10,5.2,
2007-01,-4.1,
2007-04,-1.0,
2007-07,2.2,
2007-10,-10.0,
2008-01,12.0,
2008-04,10.1,
2008-07,10.9,
2008-10,11.8,
2009-01,18.8,
2009-04,9.0,
2009-07,8.4,
2009-10,1.6,
2010-01,10.0,
2010-04,3.8,
2010-07,5.3,
2010-10,14.3,
2011-01,1.9,
2011-04,1.8,
2011-07,3.0,
2011-10,-6.3,
2012-01,19.0,
2012-04,20.0,
2012-07,2.1,
2012-10,8.6,
2013-01,10.0,
2013-04,16.2,
2013-07,0.4,
2013-10,21.2,
2014-01,-2.1,
