"",BBK01.OEAD01K,BBK01.OEAD01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:31,
2002-01,6.861,
2002-04,6.731,
2002-07,6.624,
2002-10,6.393,
2003-01,6.189,
2003-04,5.837,
2003-07,5.392,
2003-10,5.709,
2004-01,5.754,
2004-04,5.753,
2004-07,5.880,
2004-10,5.467,
2005-01,5.420,
2005-04,5.203,
2005-07,5.276,
2005-10,5.246,
2006-01,5.175,
2006-04,5.387,
2006-07,5.365,
2006-10,5.314,
2007-01,4.760,
2007-04,4.902,
2007-07,4.948,
2007-10,5.010,
2008-01,6.150,
2008-04,6.454,
2008-07,6.501,
2008-10,5.857,
2009-01,5.513,
2009-04,5.329,
2009-07,5.025,
2009-10,4.818,
2010-01,4.703,
2010-04,4.752,
2010-07,5.173,
2010-10,5.207,
2011-01,5.295,
2011-04,5.227,
2011-07,5.178,
2011-10,4.995,
2012-01,5.049,
2012-04,4.828,
2012-07,4.930,
2012-10,4.771,
2013-01,4.618,
2013-04,4.835,
2013-07,4.694,
2013-10,4.450,
2014-01,4.476,
2014-04,4.494,
2014-07,4.476,
