"",BBK01.CEL90N,BBK01.CEL90N_FLAGS
"",Non-MMF investment fund shares debtor: Total                                   creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:04,
1999-01,2.5,
1999-04,-1.2,
1999-07,0.6,
1999-10,4.1,
2000-01,5.3,
2000-04,2.3,
2000-07,2.0,
2000-10,2.2,
2001-01,-2.1,
2001-04,-0.8,
2001-07,-0.7,
2001-10,1.7,
2002-01,1.5,
2002-04,-0.3,
2002-07,1.1,
2002-10,-1.1,
2003-01,-1.2,
2003-04,-0.1,
2003-07,-1.1,
2003-10,1.1,
2004-01,0.8,
2004-04,-1.5,
2004-07,-0.7,
2004-10,3.1,
2005-01,0.3,
2005-04,0.2,
2005-07,3.6,
2005-10,2.8,
2006-01,-6.3,
2006-04,11.4,
2006-07,-6.6,
2006-10,-22.6,
2007-01,16.1,
2007-04,15.2,
2007-07,0.4,
2007-10,12.9,
2008-01,-7.9,
2008-04,10.3,
2008-07,3.4,
2008-10,-3.4,
2009-01,13.0,
2009-04,-0.8,
2009-07,24.0,
2009-10,-0.2,
2010-01,5.4,
2010-04,5.0,
2010-07,9.5,
2010-10,10.1,
2011-01,9.4,
2011-04,-6.4,
2011-07,-1.7,
2011-10,-5.2,
2012-01,18.2,
2012-04,3.3,
2012-07,9.6,
2012-10,-2.1,
2013-01,-0.8,
2013-04,-0.7,
2013-07,1.3,
2013-10,3.4,
2014-01,1.0,
2014-04,1.6,
2014-07,1.1,
