"",BBK01.OEAD18R,BBK01.OEAD18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:37,
2002-01,0.056,
2002-04,0.059,
2002-07,0.070,
2002-10,0.070,
2003-01,0.065,
2003-04,0.068,
2003-07,0.066,
2003-10,0.041,
2004-01,0.037,
2004-04,0.038,
2004-07,0.036,
2004-10,0.032,
2005-01,0.042,
2005-04,0.039,
2005-07,0.037,
2005-10,0.020,
2006-01,0.024,
2006-04,0.026,
2006-07,0.027,
2006-10,0.026,
2007-01,0.027,
2007-04,0.032,
2007-07,0.038,
2007-10,0.045,
2008-01,0.028,
2008-04,0.022,
2008-07,0.020,
2008-10,0.023,
2009-01,0.018,
2009-04,0.018,
2009-07,0.021,
2009-10,0.018,
2010-01,0.016,
2010-04,0.016,
2010-07,0.015,
2010-10,0.017,
2011-01,0.019,
2011-04,0.016,
2011-07,0.015,
2011-10,0.016,
2012-01,0.029,
2012-04,0.025,
2012-07,0.025,
2012-10,0.017,
2013-01,0.020,
2013-04,0.017,
2013-07,0.015,
2013-10,0.014,
2014-01,0.027,
2014-04,0.024,
2014-07,0.023,
