"",BBEX3.M.USD.EUR.CA.AA.A01,BBEX3.M.USD.EUR.CA.AA.A01_FLAGS
"",Exchange rates (closing) for the euro in the United States / EUR 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:50,
1999-01,1.1364,
1999-02,1.1023,
1999-03,1.0775,
1999-04,1.0570,
1999-05,1.0428,
1999-06,1.0350,
1999-07,1.0704,
1999-08,1.0561,
1999-09,1.0687,
1999-10,1.0546,
1999-11,1.0088,
1999-12,1.0070,
2000-01,0.9697,
2000-02,0.9641,
2000-03,0.9556,
2000-04,0.9111,
2000-05,0.9307,
2000-06,0.9533,
2000-07,0.9261,
2000-08,0.8875,
2000-09,0.8820,
2000-10,0.8486,
2000-11,0.8724,
2000-12,0.9420,
2001-01,0.9364,
2001-02,0.9231,
2001-03,0.8790,
2001-04,0.8870,
2001-05,0.8464,
2001-06,0.8495,
2001-07,0.8754,
2001-08,0.9114,
2001-09,0.9098,
2001-10,0.8996,
2001-11,0.8958,
2001-12,0.8896,
2002-01,0.8582,
2002-02,0.8687,
2002-03,0.8713,
2002-04,0.8997,
2002-05,0.9330,
2002-06,0.9910,
2002-07,0.9778,
2002-08,0.9821,
2002-09,0.9871,
2002-10,0.9904,
2002-11,0.9950,
2002-12,1.0497,
2003-01,1.0767,
2003-02,1.0797,
2003-03,1.0925,
2003-04,1.1180,
2003-05,1.1771,
2003-06,1.1514,
2003-07,1.1239,
2003-08,1.0987,
2003-09,1.1658,
2003-10,1.1588,
2003-11,1.1993,
2003-12,1.2588,
2004-01,1.2469,
2004-02,1.2489,
2004-03,1.2310,
2004-04,1.1977,
2004-05,1.2221,
2004-06,1.2195,
2004-07,1.2020,
2004-08,1.2178,
2004-09,1.2432,
2004-10,1.2792,
2004-11,1.3290,
2004-12,1.3632,
2005-01,1.3038,
2005-02,1.3233,
2005-03,1.2961,
2005-04,1.2862,
2005-05,1.2300,
2005-06,1.2102,
2005-07,1.2126,
2005-08,1.2343,
2005-09,1.2043,
2005-10,1.1989,
2005-11,1.1785,
2005-12,1.1845,
2006-01,1.2154,
2006-02,1.1915,
2006-03,1.2113,
2006-04,1.2631,
2006-05,1.2813,
2006-06,1.2790,
2006-07,1.2773,
2006-08,1.2816,
2006-09,1.2674,
2006-10,1.2764,
2006-11,1.3240,
2006-12,1.3183,
2007-01,1.3033,
2007-02,1.3232,
2007-03,1.3355,
2007-04,1.3648,
2007-05,1.3454,
2007-06,1.3533,
2007-07,1.3680,
2007-08,1.3623,
2007-09,1.4259,
2007-10,1.4485,
2007-11,1.4633,
2007-12,1.4586,
2008-01,1.4863,
2008-02,1.5179,
2008-03,1.5790,
2008-04,1.5625,
2008-05,1.5555,
2008-06,1.5739,
2008-07,1.5594,
2008-08,1.4670,
2008-09,1.4071,
2008-10,1.2746,
2008-11,1.2698,
2008-12,1.3977,
2009-01,1.2794,
2009-02,1.2657,
2009-03,1.3266,
2009-04,1.3223,
2009-05,1.4144,
2009-06,1.4027,
2009-07,1.4255,
2009-08,1.4338,
2009-09,1.4637,
2009-10,1.4708,
2009-11,1.5008,
2009-12,1.4323,
2010-01,1.3862,
2010-02,1.3633,
2010-03,1.3510,
2010-04,1.3305,
2010-05,1.2302,
2010-06,1.2234,
2010-07,1.3037,
2010-08,1.2679,
2010-09,1.3641,
2010-10,1.3918,
2010-11,1.2983,
2010-12,1.3379,
2011-01,1.3689,
2011-02,1.3801,
2011-03,1.4159,
2011-04,1.4804,
2011-05,1.4390,
2011-06,1.4502,
2011-07,1.4397,
2011-08,1.4373,
2011-09,1.3390,
2011-10,1.3847,
2011-11,1.3441,
2011-12,1.2941,
2012-01,1.3077,
2012-02,1.3324,
2012-03,1.3340,
2012-04,1.3237,
2012-05,1.2356,
2012-06,1.2643,
2012-07,1.2302,
2012-08,1.2581,
2012-09,1.2846,
2012-10,1.2956,
2012-11,1.3002,
2012-12,1.3190,
2013-01,1.3578,
2013-02,1.3136,
2013-03,1.2818,
2013-04,1.3168,
2013-05,1.2993,
2013-06,1.3012,
2013-07,1.3299,
2013-08,1.3215,
2013-09,1.3524,
2013-10,1.3578,
2013-11,1.3582,
2013-12,1.3756,
2014-01,1.3487,
2014-02,1.3806,
2014-03,1.3774,
2014-04,1.3868,
2014-05,1.3633,
2014-06,1.3694,
2014-07,1.3386,
2014-08,1.3138,
2014-09,1.2630,
2014-10,1.2533,
2014-11,1.2445,
2014-12,1.2100,
2015-01,1.1288,
"",Source: Thomson Reuters (until March 2008 Reuters),
