"",BBDE1.M.DE.Y.AEA1.P2XF22000.B2.V.I10.A,BBDE1.M.DE.Y.AEA1.P2XF22000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Residential construction / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:13,
1991-01,131.1,
1991-02,132.5,
1991-03,138.1,
1991-04,138.9,
1991-05,140.4,
1991-06,145.8,
1991-07,146.8,
1991-08,155.0,
1991-09,159.4,
1991-10,158.1,
1991-11,162.8,
1991-12,156.9,
1992-01,162.6,
1992-02,175.3,
1992-03,157.3,
1992-04,162.9,
1992-05,159.9,
1992-06,177.7,
1992-07,165.2,
1992-08,163.3,
1992-09,171.6,
1992-10,183.2,
1992-11,187.5,
1992-12,195.4,
1993-01,196.4,
1993-02,181.7,
1993-03,199.6,
1993-04,205.5,
1993-05,206.6,
1993-06,215.0,
1993-07,238.8,
1993-08,230.1,
1993-09,223.6,
1993-10,249.7,
1993-11,262.4,
1993-12,253.3,
1994-01,279.1,
1994-02,263.2,
1994-03,290.3,
1994-04,275.8,
1994-05,274.9,
1994-06,270.3,
1994-07,259.1,
1994-08,260.2,
1994-09,273.4,
1994-10,276.2,
1994-11,297.8,
1994-12,288.3,
1995-01,267.5,
1995-02,287.8,
1995-03,257.7,
1995-04,261.7,
1995-05,264.1,
1995-06,249.7,
1995-07,245.2,
1995-08,253.1,
1995-09,254.2,
1995-10,254.3,
1995-11,255.4,
1995-12,271.8,
1996-01,232.7,
1996-02,250.0,
1996-03,270.1,
1996-04,266.6,
1996-05,273.8,
1996-06,266.4,
1996-07,257.7,
1996-08,278.1,
1996-09,283.0,
1996-10,259.2,
1996-11,254.5,
1996-12,255.3,
1997-01,236.4,
1997-02,252.9,
1997-03,231.9,
1997-04,225.9,
1997-05,232.9,
1997-06,223.0,
1997-07,231.9,
1997-08,225.9,
1997-09,222.7,
1997-10,227.0,
1997-11,200.9,
1997-12,217.5,
1998-01,218.2,
1998-02,221.2,
1998-03,219.1,
1998-04,205.9,
1998-05,215.8,
1998-06,215.8,
1998-07,231.8,
1998-08,211.3,
1998-09,213.7,
1998-10,200.9,
1998-11,199.0,
1998-12,208.9,
1999-01,221.9,
1999-02,212.6,
1999-03,203.2,
1999-04,209.1,
1999-05,209.9,
1999-06,199.1,
1999-07,217.0,
1999-08,215.1,
1999-09,198.3,
1999-10,183.5,
1999-11,185.9,
1999-12,178.1,
2000-01,198.8,
2000-02,177.5,
2000-03,191.5,
2000-04,188.5,
2000-05,173.0,
2000-06,172.1,
2000-07,172.5,
2000-08,165.9,
2000-09,154.2,
2000-10,157.7,
2000-11,149.1,
2000-12,138.5,
2001-01,164.7,
2001-02,150.2,
2001-03,150.5,
2001-04,149.9,
2001-05,151.8,
2001-06,159.8,
2001-07,131.8,
2001-08,136.4,
2001-09,135.2,
2001-10,131.2,
2001-11,117.2,
2001-12,111.9,
2002-01,133.6,
2002-02,126.6,
2002-03,126.6,
2002-04,132.1,
2002-05,125.6,
2002-06,123.0,
2002-07,111.8,
2002-08,119.5,
2002-09,117.1,
2002-10,114.4,
2002-11,132.0,
2002-12,128.3,
2003-01,115.3,
2003-02,111.3,
2003-03,117.9,
2003-04,113.5,
2003-05,106.3,
2003-06,110.9,
2003-07,114.2,
2003-08,113.8,
2003-09,114.5,
2003-10,119.4,
2003-11,119.6,
2003-12,120.7,
2004-01,96.5,
2004-02,119.8,
2004-03,105.6,
2004-04,101.4,
2004-05,106.8,
2004-06,106.0,
2004-07,102.1,
2004-08,101.2,
2004-09,106.2,
