"",BBK01.OELL03V,BBK01.OELL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:57,
2002-01,0.867,
2002-04,0.797,
2002-07,0.783,
2002-10,0.833,
2003-01,0.832,
2003-04,0.782,
2003-07,0.784,
2003-10,0.773,
2004-01,0.705,
2004-04,0.693,
2004-07,0.642,
2004-10,0.725,
2005-01,0.752,
2005-04,0.752,
2005-07,0.711,
2005-10,0.774,
2006-01,0.752,
2006-04,0.775,
2006-07,0.768,
2006-10,0.714,
2007-01,0.734,
2007-04,0.794,
2007-07,0.775,
2007-10,0.842,
2008-01,0.857,
2008-04,0.907,
2008-07,0.774,
2008-10,0.834,
2009-01,0.778,
2009-04,0.610,
2009-07,0.530,
2009-10,0.487,
2010-01,0.447,
2010-04,0.429,
2010-07,0.426,
2010-10,0.405,
2011-01,0.408,
2011-04,0.445,
2011-07,0.477,
2011-10,0.496,
2012-01,0.503,
2012-04,0.482,
2012-07,0.446,
2012-10,0.440,
2013-01,0.563,
2013-04,0.541,
2013-07,0.532,
2013-10,0.534,
2014-01,0.525,
2014-04,0.502,
2014-07,0.495,
