"",BBK01.CEBBQC,BBK01.CEBBQC_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: General govenment  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:11,
1991-01,8.9,
1991-04,9.2,
1991-07,8.8,
1991-10,8.7,
1992-01,9.0,
1992-04,9.2,
1992-07,8.9,
1992-10,8.7,
1993-01,8.9,
1993-04,8.9,
1993-07,9.5,
1993-10,9.8,
1994-01,9.6,
1994-04,9.7,
1994-07,9.7,
1994-10,11.1,
1995-01,11.2,
1995-04,11.3,
1995-07,11.3,
1995-10,11.6,
1996-01,10.1,
1996-04,9.6,
1996-07,9.3,
1996-10,10.0,
1997-01,8.9,
1997-04,8.8,
1997-07,8.6,
1997-10,9.3,
1998-01,10.1,
1998-04,9.7,
1998-07,9.8,
1998-10,11.1,
1999-01,10.7,
1999-04,10.4,
1999-07,9.9,
1999-10,7.0,
2000-01,7.7,
2000-04,11.0,
2000-07,10.6,
2000-10,7.9,
2001-01,7.9,
2001-04,7.5,
2001-07,7.3,
2001-10,6.3,
2002-01,5.7,
2002-04,5.5,
2002-07,4.8,
2002-10,7.4,
2003-01,7.7,
2003-04,7.9,
2003-07,7.4,
2003-10,7.6,
2004-01,7.8,
2004-04,7.7,
2004-07,8.3,
2004-10,8.2,
2005-01,9.1,
2005-04,9.5,
2005-07,9.9,
2005-10,9.4,
2006-01,5.4,
2006-04,5.7,
2006-07,5.9,
2006-10,5.5,
2007-01,5.8,
2007-04,6.2,
2007-07,6.6,
2007-10,6.6,
2008-01,22.3,
2008-04,45.3,
2008-07,46.1,
2008-10,46.2,
2009-01,42.7,
2009-04,43.4,
2009-07,45.8,
2009-10,47.6,
2010-01,47.5,
2010-04,52.0,
2010-07,51.1,
2010-10,148.5,
2011-01,139.9,
2011-04,137.7,
2011-07,138.5,
2011-10,134.3,
2012-01,129.6,
2012-04,130.1,
2012-07,126.3,
2012-10,132.0,
2013-01,129.0,
2013-04,126.3,
2013-07,122.3,
2013-10,120.9,
2014-01,119.3,
