"",BBK01.OEAG04U,BBK01.OEAG04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:39,
2002-01,3.383,
2002-04,3.376,
2002-07,3.399,
2002-10,3.450,
2003-01,3.353,
2003-04,3.383,
2003-07,3.401,
2003-10,3.445,
2004-01,3.415,
2004-04,3.403,
2004-07,3.394,
2004-10,3.458,
2005-01,3.455,
2005-04,3.454,
2005-07,3.474,
2005-10,3.528,
2006-01,3.607,
2006-04,3.561,
2006-07,3.550,
2006-10,3.588,
2007-01,3.580,
2007-04,3.587,
2007-07,3.543,
2007-10,3.488,
2008-01,3.444,
2008-04,3.436,
2008-07,3.398,
2008-10,3.459,
2009-01,3.434,
2009-04,3.416,
2009-07,3.412,
2009-10,3.379,
2010-01,3.313,
2010-04,3.344,
2010-07,3.326,
2010-10,3.372,
2011-01,3.335,
2011-04,3.320,
2011-07,3.257,
2011-10,3.263,
2012-01,3.268,
2012-04,3.269,
2012-07,3.258,
2012-10,3.312,
2013-01,3.984,
2013-04,3.920,
2013-07,3.964,
2013-10,3.939,
2014-01,3.973,
2014-04,3.869,
2014-07,3.868,
