"",BBK01.OEBJ05M,BBK01.OEBJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:32,
2002-01,1.129,
2002-04,1.156,
2002-07,1.162,
2002-10,1.000,
2003-01,1.750,
2003-04,1.744,
2003-07,1.683,
2003-10,1.671,
2004-01,1.772,
2004-04,1.855,
2004-07,2.206,
2004-10,2.308,
2005-01,2.440,
2005-04,2.454,
2005-07,2.516,
2005-10,1.830,
2006-01,1.853,
2006-04,1.913,
2006-07,1.922,
2006-10,1.638,
2007-01,1.604,
2007-04,1.584,
2007-07,1.659,
2007-10,1.928,
2008-01,2.028,
2008-04,2.431,
2008-07,2.103,
2008-10,5.002,
2009-01,4.865,
2009-04,4.929,
2009-07,4.652,
2009-10,4.563,
2010-01,4.279,
2010-04,3.972,
2010-07,3.794,
2010-10,4.560,
2011-01,4.182,
2011-04,3.971,
2011-07,4.635,
2011-10,5.322,
2012-01,4.995,
2012-04,6.457,
2012-07,6.083,
2012-10,6.697,
2013-01,6.222,
2013-04,7.729,
2013-07,7.137,
2013-10,6.463,
2014-01,5.849,
2014-04,8.082,
2014-07,7.300,
