"",BBK01.OEAI03R,BBK01.OEAI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:20,
2002-01,1.848,
2002-04,1.763,
2002-07,1.736,
2002-10,1.760,
2003-01,1.535,
2003-04,1.485,
2003-07,1.473,
2003-10,1.458,
2004-01,1.419,
2004-04,1.341,
2004-07,1.297,
2004-10,1.311,
2005-01,1.330,
2005-04,1.215,
2005-07,1.316,
2005-10,1.226,
2006-01,1.254,
2006-04,1.357,
2006-07,1.379,
2006-10,1.383,
2007-01,1.492,
2007-04,1.652,
2007-07,1.739,
2007-10,1.836,
2008-01,2.111,
2008-04,2.147,
2008-07,2.291,
2008-10,2.236,
2009-01,1.687,
2009-04,1.471,
2009-07,1.266,
2009-10,1.136,
2010-01,1.079,
2010-04,0.992,
2010-07,0.980,
2010-10,0.982,
2011-01,1.103,
2011-04,1.097,
2011-07,1.131,
2011-10,1.752,
2012-01,1.912,
2012-04,1.985,
2012-07,2.071,
2012-10,2.040,
2013-01,2.138,
2013-04,2.019,
2013-07,1.995,
2013-10,1.859,
2014-01,1.898,
2014-04,1.910,
2014-07,1.641,
