"",BBK01.OEXO01G,BBK01.OEXO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:35,
2002-01,29.342,
2002-04,29.953,
2002-07,30.158,
2002-10,32.388,
2003-01,34.911,
2003-04,35.791,
2003-07,36.157,
2003-10,37.712,
2004-01,39.200,
2004-04,39.637,
2004-07,39.902,
2004-10,40.409,
2005-01,5.041,
2005-04,5.216,
2005-07,2.825,
2005-10,2.737,
2006-01,2.786,
2006-04,2.704,
2006-07,2.706,
2006-10,2.740,
2007-01,2.837,
2007-04,3.165,
2007-07,3.322,
2007-10,3.491,
2008-01,3.851,
2008-04,3.975,
2008-07,4.019,
2008-10,4.078,
2009-01,4.871,
2009-04,4.745,
2009-07,4.677,
2009-10,4.733,
2010-01,4.383,
2010-04,4.052,
2010-07,3.867,
2010-10,3.775,
2011-01,4.231,
2011-04,4.445,
2011-07,4.378,
2011-10,4.338,
2012-01,4.249,
2012-04,4.091,
2012-07,4.182,
2012-10,4.069,
2013-01,3.872,
2013-04,3.504,
2013-07,3.210,
2013-10,3.149,
2014-01,3.108,
2014-04,3.219,
2014-07,3.138,
