"",BBK01.OEAH37H,BBK01.OEAH37H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:57,
2002-01,0.087,
2002-04,0.090,
2002-07,0.086,
2002-10,0.077,
2003-01,0.078,
2003-04,0.075,
2003-07,0.075,
2003-10,0.084,
2004-01,0.085,
2004-04,0.087,
2004-07,0.091,
2004-10,0.092,
2005-01,0.086,
2005-04,0.084,
2005-07,0.080,
2005-10,0.076,
2006-01,0.089,
2006-04,0.105,
2006-07,0.115,
2006-10,0.137,
2007-01,0.150,
2007-04,0.158,
2007-07,0.172,
2007-10,0.181,
2008-01,0.216,
2008-04,0.231,
2008-07,0.254,
2008-10,0.253,
2009-01,0.251,
2009-04,0.189,
2009-07,0.149,
2009-10,0.180,
2010-01,0.159,
2010-04,0.150,
2010-07,0.151,
2010-10,0.152,
2011-01,0.176,
2011-04,0.220,
2011-07,0.259,
2011-10,0.293,
2012-01,0.261,
2012-04,0.248,
2012-07,0.240,
2012-10,0.226,
2013-01,0.226,
2013-04,0.227,
2013-07,0.216,
2013-10,0.263,
2014-01,0.246,
2014-04,0.230,
2014-07,0.218,
