"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D1.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D1.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment in direct investment enterprises - Debt instruments (FDI) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:19,
1999-10,84081,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,106457,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,123722,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,125070,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,103841,
2004-01,105875,
2004-04,106479,
2004-07,107898,
2004-10,105853,
2005-01,113944,
2005-04,115613,
2005-07,116147,
2005-10,124055,
2006-01,134898,
2006-04,137406,
2006-07,132908,
2006-10,128201,
2007-01,130824,
2007-04,136076,
2007-07,145254,
2007-10,134443,
2008-01,142963,
2008-04,151769,
2008-07,155083,
2008-10,172000,
2009-01,172580,
2009-04,170587,
2009-07,168275,
2009-10,186287,
2010-01,195224,
2010-04,207205,
2010-07,204610,
2010-10,202866,
2011-01,210904,
2011-04,209117,
2011-07,210776,
2011-10,225540,
2012-01,232810,
2012-04,238703,
2012-07,240294,
2012-10,172190,
2013-01,179030,
2013-04,189856,
2013-07,185852,
2013-10,178612,
2014-01,185143,
2014-04,188702,
2014-07,195758,
