"",BBK01.OEBK05N,BBK01.OEBK05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:18,
2002-01,0.031,
2002-04,0.032,
2002-07,0.037,
2002-10,0.038,
2003-01,0.042,
2003-04,0.047,
2003-07,0.045,
2003-10,0.045,
2004-01,0.044,
2004-04,0.044,
2004-07,0.058,
2004-10,0.018,
2005-01,0.023,
2005-04,0.022,
2005-07,0.022,
2005-10,0.024,
2006-01,0.030,
2006-04,0.031,
2006-07,0.032,
2006-10,0.034,
2007-01,0.032,
2007-04,0.033,
2007-07,0.030,
2007-10,0.033,
2008-01,0.038,
2008-04,0.034,
2008-07,0.037,
2008-10,0.117,
2009-01,0.149,
2009-04,0.171,
2009-07,0.179,
2009-10,0.186,
2010-01,0.198,
2010-04,0.189,
2010-07,0.181,
2010-10,0.184,
2011-01,0.181,
2011-04,0.170,
2011-07,0.175,
2011-10,0.171,
2012-01,0.156,
2012-04,0.159,
2012-07,0.163,
2012-10,0.174,
2013-01,0.169,
2013-04,0.188,
2013-07,0.198,
2013-10,0.222,
2014-01,0.239,
2014-04,0.243,
2014-07,0.259,
