"",BBDE1.M.DE.Y.BAA1.N2C270000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C270000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 27 Manufacture of electrical equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:55,
1991-01,77.8,
1991-02,78.5,
1991-03,78.1,
1991-04,77.1,
1991-05,76.3,
1991-06,79.3,
1991-07,78.0,
1991-08,76.2,
1991-09,76.6,
1991-10,76.2,
1991-11,77.7,
1991-12,78.0,
1992-01,79.1,
1992-02,79.5,
1992-03,79.1,
1992-04,79.1,
1992-05,79.1,
1992-06,76.2,
1992-07,75.5,
1992-08,76.2,
1992-09,74.2,
1992-10,73.5,
1992-11,72.9,
1992-12,71.4,
1993-01,72.0,
1993-02,70.8,
1993-03,70.2,
1993-04,69.9,
1993-05,69.7,
1993-06,69.0,
1993-07,67.8,
1993-08,70.1,
1993-09,69.3,
1993-10,70.9,
1993-11,70.1,
1993-12,70.9,
1994-01,71.4,
1994-02,71.2,
1994-03,71.6,
1994-04,72.7,
1994-05,72.5,
1994-06,72.7,
1994-07,73.2,
1994-08,72.4,
1994-09,74.1,
1994-10,74.6,
1994-11,75.0,
1994-12,74.4,
1995-01,71.1,
1995-02,71.8,
1995-03,69.7,
1995-04,72.3,
1995-05,72.4,
1995-06,72.7,
1995-07,72.5,
1995-08,71.2,
1995-09,72.3,
1995-10,69.1,
1995-11,71.0,
1995-12,72.3,
1996-01,72.4,
1996-02,72.7,
1996-03,71.7,
1996-04,71.0,
1996-05,71.6,
1996-06,71.1,
1996-07,71.4,
1996-08,72.4,
1996-09,74.4,
1996-10,71.3,
1996-11,72.2,
1996-12,71.7,
1997-01,72.9,
1997-02,73.7,
1997-03,75.1,
1997-04,75.3,
1997-05,71.8,
1997-06,76.7,
1997-07,77.6,
1997-08,77.2,
1997-09,77.6,
1997-10,78.5,
1997-11,78.9,
1997-12,79.1,
1998-01,80.4,
1998-02,79.3,
1998-03,80.7,
1998-04,81.4,
1998-05,80.0,
1998-06,79.4,
1998-07,80.8,
1998-08,80.5,
1998-09,79.4,
1998-10,79.9,
1998-11,78.3,
1998-12,77.6,
1999-01,81.6,
1999-02,78.6,
1999-03,77.9,
1999-04,79.0,
1999-05,79.3,
1999-06,80.5,
1999-07,80.8,
1999-08,80.2,
1999-09,82.5,
1999-10,80.0,
1999-11,81.8,
1999-12,82.3,
2000-01,81.0,
2000-02,83.2,
2000-03,83.9,
2000-04,83.2,
2000-05,86.9,
2000-06,82.5,
2000-07,85.8,
2000-08,85.9,
2000-09,88.1,
2000-10,88.6,
2000-11,87.7,
2000-12,95.4,
2001-01,91.2,
2001-02,92.0,
2001-03,91.0,
2001-04,87.1,
2001-05,89.5,
2001-06,90.1,
2001-07,88.1,
2001-08,89.0,
2001-09,88.3,
2001-10,86.0,
2001-11,87.1,
2001-12,86.8,
2002-01,85.6,
2002-02,84.2,
2002-03,85.0,
2002-04,84.6,
2002-05,81.3,
2002-06,87.3,
2002-07,85.7,
2002-08,88.6,
2002-09,87.9,
2002-10,87.6,
2002-11,88.6,
2002-12,86.9,
2003-01,85.4,
2003-02,85.9,
2003-03,85.9,
2003-04,85.3,
2003-05,85.0,
2003-06,84.2,
2003-07,85.9,
2003-08,84.6,
2003-09,85.7,
2003-10,87.3,
2003-11,87.4,
2003-12,89.2,
2004-01,88.2,
2004-02,89.6,
2004-03,87.9,
2004-04,89.1,
2004-05,91.0,
2004-06,89.8,
2004-07,90.8,
2004-08,89.7,
2004-09,90.0,
2004-10,89.0,
2004-11,88.5,
2004-12,90.9,
2005-01,91.9,
2005-02,91.1,
2005-03,90.9,
2005-04,92.3,
2005-05,90.0,
2005-06,93.0,
2005-07,93.5,
2005-08,91.9,
2005-09,93.1,
2005-10,95.5,
2005-11,95.6,
2005-12,94.2,
2006-01,96.9,
2006-02,95.6,
2006-03,96.7,
2006-04,99.7,
2006-05,99.4,
2006-06,100.2,
2006-07,98.3,
2006-08,108.1,
2006-09,100.1,
2006-10,103.2,
2006-11,105.4,
2006-12,104.7,
2007-01,105.5,
2007-02,106.2,
2007-03,107.7,
2007-04,105.4,
2007-05,106.2,
2007-06,105.6,
2007-07,108.3,
2007-08,108.3,
2007-09,107.8,
2007-10,107.7,
2007-11,107.5,
2007-12,109.3,
2008-01,110.6,
2008-02,112.8,
2008-03,113.3,
2008-04,113.0,
2008-05,110.6,
2008-06,111.8,
2008-07,109.2,
2008-08,111.2,
2008-09,107.7,
2008-10,102.9,
2008-11,98.6,
2008-12,92.6,
2009-01,86.5,
2009-02,84.5,
2009-03,84.0,
2009-04,80.1,
2009-05,81.3,
2009-06,81.8,
2009-07,82.6,
2009-08,84.2,
2009-09,86.4,
2009-10,87.8,
2009-11,88.6,
2009-12,89.7,
2010-01,90.1,
2010-02,91.3,
2010-03,92.8,
2010-04,95.9,
2010-05,100.3,
2010-06,100.9,
2010-07,101.6,
2010-08,101.9,
2010-09,102.6,
2010-10,105.0,
2010-11,103.7,
2010-12,104.6,
2011-01,105.5,
2011-02,105.8,
2011-03,107.8,
2011-04,107.7,
2011-05,109.0,
2011-06,106.8,
2011-07,110.1,
2011-08,110.5,
2011-09,108.2,
2011-10,107.9,
2011-11,108.8,
2011-12,108.7,
2012-01,106.9,
2012-02,106.9,
2012-03,106.9,
2012-04,105.1,
2012-05,106.8,
2012-06,106.1,
2012-07,105.7,
2012-08,106.0,
2012-09,105.2,
2012-10,101.9,
2012-11,102.1,
2012-12,102.4,
2013-01,103.3,
2013-02,101.9,
2013-03,102.3,
2013-04,102.2,
2013-05,101.9,
2013-06,102.9,
2013-07,100.6,
2013-08,101.1,
2013-09,101.6,
2013-10,103.1,
2013-11,103.4,
2013-12,102.1,
2014-01,104.0,
2014-02,105.4,
2014-03,104.4,
2014-04,104.9,
2014-05,102.5,
2014-06,101.6,
2014-07,103.6,
2014-08,102.0,
2014-09,103.1,
2014-10,102.9,Provisional value
2014-11,105.6,Provisional value
2014-12,107.0,Provisional value
