"",BBK01.OEHB11T,BBK01.OEHB11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:23,
2002-01,0.092,
2002-04,0.087,
2002-07,0.085,
2002-10,0.086,
2003-01,0.088,
2003-04,0.080,
2003-07,0.086,
2003-10,0.082,
2004-01,0.083,
2004-04,0.095,
2004-07,0.089,
2004-10,0.090,
2005-01,0.087,
2005-04,0.083,
2005-07,0.083,
2005-10,0.084,
2006-01,0.085,
2006-04,0.080,
2006-07,0.084,
2006-10,0.080,
2007-01,0.079,
2007-04,0.079,
2007-07,0.087,
2007-10,0.078,
2008-01,0.086,
2008-04,0.078,
2008-07,0.091,
2008-10,0.090,
2009-01,0.090,
2009-04,0.114,
2009-07,0.108,
2009-10,0.112,
2010-01,0.105,
2010-04,0.114,
2010-07,0.126,
2010-10,0.106,
2011-01,0.211,
2011-04,0.266,
2011-07,0.277,
2011-10,0.307,
2012-01,0.306,
2012-04,0.305,
2012-07,0.351,
2012-10,0.323,
2013-01,0.331,
2013-04,0.336,
2013-07,0.332,
2013-10,0.364,
2014-01,0.356,
2014-04,0.355,
2014-07,0.332,
