"",BBK01.OEAO03U,BBK01.OEAO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:55,
2002-01,1.693,
2002-04,1.383,
2002-07,1.155,
2002-10,1.206,
2003-01,1.213,
2003-04,1.135,
2003-07,0.968,
2003-10,1.161,
2004-01,1.182,
2004-04,0.948,
2004-07,0.900,
2004-10,1.054,
2005-01,1.193,
2005-04,1.103,
2005-07,1.038,
2005-10,1.202,
2006-01,1.200,
2006-04,1.151,
2006-07,1.139,
2006-10,1.433,
2007-01,1.487,
2007-04,1.188,
2007-07,1.190,
2007-10,1.341,
2008-01,1.418,
2008-04,1.273,
2008-07,1.311,
2008-10,1.384,
2009-01,1.275,
2009-04,1.164,
2009-07,1.186,
2009-10,1.356,
2010-01,1.140,
2010-04,0.926,
2010-07,0.837,
2010-10,0.966,
2011-01,1.007,
2011-04,0.969,
2011-07,0.908,
2011-10,0.998,
2012-01,1.000,
2012-04,0.907,
2012-07,0.901,
2012-10,0.953,
2013-01,1.010,
2013-04,0.846,
2013-07,0.748,
2013-10,0.799,
2014-01,0.810,
2014-04,0.770,
2014-07,0.746,
