"",BBK01.OELM01H,BBK01.OELM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:26,
2002-01,1.051,
2002-04,1.031,
2002-07,0.951,
2002-10,0.973,
2003-01,0.889,
2003-04,0.903,
2003-07,0.896,
2003-10,1.020,
2004-01,0.945,
2004-04,1.026,
2004-07,1.059,
2004-10,1.173,
2005-01,1.105,
2005-04,1.172,
2005-07,1.190,
2005-10,1.289,
2006-01,1.168,
2006-04,1.235,
2006-07,1.260,
2006-10,1.315,
2007-01,1.287,
2007-04,1.327,
2007-07,1.275,
2007-10,1.378,
2008-01,1.281,
2008-04,1.312,
2008-07,1.328,
2008-10,1.441,
2009-01,1.474,
2009-04,1.527,
2009-07,1.700,
2009-10,1.854,
2010-01,1.710,
2010-04,1.760,
2010-07,1.728,
2010-10,1.907,
2011-01,1.806,
2011-04,2.029,
2011-07,1.871,
2011-10,1.997,
2012-01,1.838,
2012-04,2.031,
2012-07,2.191,
2012-10,2.384,
2013-01,2.580,
2013-04,2.625,
2013-07,2.617,
2013-10,2.601,
2014-01,2.767,
2014-04,2.887,
2014-07,2.894,
