"",BBK01.OXA7C2,BBK01.OXA7C2_FLAGS
"","Stocks of loans to domestic households (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:37,
2009-12,4.919,
2010-01,4.698,
2010-02,4.455,
2010-03,4.244,
2010-04,4.535,
2010-05,4.320,
2010-06,4.090,
2010-07,3.863,
2010-08,3.651,
2010-09,3.430,
2010-10,3.255,
2010-11,3.035,
2010-12,2.761,
2011-01,2.592,
2011-02,3.159,
2011-03,2.991,
2011-04,2.843,
2011-05,2.666,
2011-06,3.552,
2011-07,4.048,
2011-08,3.903,
2011-09,3.704,
2011-10,3.580,
2011-11,3.468,
2011-12,3.363,
2012-01,3.234,
2012-02,3.119,
2012-03,2.967,
2012-04,2.885,
2012-05,2.812,
2012-06,2.676,
2012-07,2.562,
2012-08,2.507,
2012-09,2.444,
2012-10,2.370,
2012-11,2.283,
2012-12,2.285,
2013-01,2.116,
2013-02,2.898,
2013-03,2.780,
2013-04,2.651,
2013-05,2.512,
2013-06,2.392,
2013-07,2.896,
2013-08,2.776,
2013-09,2.636,
2013-10,2.533,
2013-11,2.428,
2013-12,2.377,
2014-01,2.286,
2014-02,2.203,
2014-03,2.113,
2014-04,2.029,
2014-05,3.142,
2014-06,2.996,
2014-07,2.864,
2014-08,2.800,
2014-09,2.705,
2014-10,2.565,
2014-11,3.196,
2014-12,3.125,Provisional value
