"",BBSF2.M.1.S.00000.GEL01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.S.00000.GEL01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Money market funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:24,
2009-09,78,
2009-10,83,
2009-11,87,
2009-12,88,
2010-01,90,
2010-02,92,
2010-03,94,
2010-04,95,
2010-05,96,
2010-06,95,
2010-07,95,
2010-08,96,
2010-09,128,
2010-10,98,
2010-11,99,
2010-12,104,
2011-01,105,
2011-02,103,
2011-03,101,
2011-04,98,
2011-05,96,
2011-06,97,
2011-07,91,
2011-08,87,
2011-09,83,
2011-10,78,
2011-11,75,
2011-12,72,
2012-01,73,
2012-02,73,
2012-03,74,
2012-04,74,
2012-05,74,
2012-06,74,
2012-07,26,
2012-08,27,
2012-09,27,
2012-10,27,
2012-11,28,
2012-12,2014,
2013-01,2016,
2013-02,1290,
2013-03,1167,
2013-04,1215,
2013-05,1215,
2013-06,30,
2013-07,30,
2013-08,30,
2013-09,30,
2013-10,30,
2013-11,31,
2013-12,19,
2014-01,17,
2014-02,17,
2014-03,17,
2014-04,17,
2014-05,17,
2014-06,17,
2014-07,17,
2014-08,17,
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
