"",BBK01.OECO01J,BBK01.OECO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:19,
2002-01,0.264,
2002-04,0.252,
2002-07,0.162,
2002-10,0.163,
2003-01,0.176,
2003-04,0.175,
2003-07,0.176,
2003-10,0.192,
2004-01,0.187,
2004-04,0.177,
2004-07,0.170,
2004-10,0.218,
2005-01,0.534,
2005-04,0.515,
2005-07,0.514,
2005-10,0.506,
2006-01,0.496,
2006-04,0.492,
2006-07,0.489,
2006-10,0.484,
2007-01,0.490,
2007-04,0.515,
2007-07,0.518,
2007-10,0.516,
2008-01,0.525,
2008-04,0.521,
2008-07,0.527,
2008-10,0.511,
2009-01,0.534,
2009-04,0.542,
2009-07,0.565,
2009-10,0.659,
2010-01,0.621,
2010-04,0.619,
2010-07,0.605,
2010-10,0.605,
2011-01,0.618,
2011-04,0.622,
2011-07,0.608,
2011-10,0.597,
2012-01,0.597,
2012-04,0.688,
2012-07,0.658,
2012-10,0.651,
2013-01,0.646,
2013-04,0.589,
2013-07,0.579,
2013-10,0.562,
2014-01,0.563,
2014-04,0.547,
2014-07,0.538,
