"",BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Business services / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:14,
1991-01,46.15,
1991-04,47.60,
1991-07,49.32,
1991-10,50.51,
1992-01,49.11,
1992-04,50.05,
1992-07,52.34,
1992-10,53.07,
1993-01,51.88,
1993-04,52.76,
1993-07,53.48,
1993-10,54.77,
1994-01,56.03,
1994-04,56.47,
1994-07,56.46,
1994-10,57.78,
1995-01,57.39,
1995-04,58.56,
1995-07,58.71,
1995-10,58.70,
1996-01,61.15,
1996-04,61.04,
1996-07,61.41,
1996-10,61.73,
1997-01,64.80,
1997-04,63.79,
1997-07,63.89,
1997-10,63.84,
1998-01,65.41,
1998-04,66.27,
1998-07,66.87,
1998-10,66.96,
1999-01,66.70,
1999-04,68.85,
1999-07,68.66,
1999-10,68.58,
2000-01,69.26,
2000-04,70.47,
2000-07,71.76,
2000-10,72.53,
2001-01,70.60,
2001-04,71.86,
2001-07,72.16,
2001-10,72.37,
2002-01,72.69,
2002-04,73.20,
2002-07,73.43,
2002-10,74.89,
2003-01,74.48,
2003-04,75.35,
2003-07,74.24,
2003-10,76.65,
2004-01,79.86,
2004-04,80.00,
2004-07,79.74,
2004-10,79.28,
2005-01,82.82,
2005-04,82.28,
2005-07,81.22,
2005-10,80.84,
2006-01,82.13,
2006-04,82.78,
2006-07,83.61,
2006-10,82.36,
2007-01,81.77,
2007-04,82.15,
2007-07,82.86,
2007-10,83.07,
2008-01,85.68,
2008-04,86.28,
2008-07,87.89,
2008-10,89.63,
2009-01,96.41,
2009-04,97.63,
2009-07,97.64,
2009-10,99.08,
2010-01,98.91,
2010-04,99.75,
2010-07,100.27,
2010-10,101.04,
2011-01,103.45,
2011-04,105.57,
2011-07,106.96,
2011-10,107.81,
2012-01,109.85,
2012-04,110.67,
2012-07,112.10,
2012-10,112.52,
2013-01,112.20,
2013-04,111.96,
2013-07,111.64,
2013-10,111.72,
2014-01,112.98,
2014-04,114.28,
2014-07,114.02,
2014-10,114.27,
