"",BBK01.OEYB23T,BBK01.OEYB23T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:48,
2002-01,0.048,
2002-04,0.025,
2002-07,0.026,
2002-10,0.022,
2003-01,0.011,
2003-04,0.013,
2003-07,0.013,
2003-10,0.012,
2004-01,0.012,
2004-04,0.012,
2004-07,0.012,
2004-10,0.011,
2005-01,0.011,
2005-04,0.011,
2005-07,0.011,
2005-10,0.013,
2006-01,0.012,
2006-04,0.012,
2006-07,0.012,
2006-10,0.016,
2007-01,0.016,
2007-04,0.015,
2007-07,0.045,
2007-10,0.044,
2008-01,0.073,
2008-04,0.070,
2008-07,0.070,
2008-10,0.101,
2009-01,0.059,
2009-04,0.058,
2009-07,0.065,
2009-10,0.065,
2010-01,0.058,
2010-04,0.030,
2010-07,0.034,
2010-10,0.032,
2011-01,0.040,
2011-04,0.016,
2011-07,0.025,
2011-10,0.013,
2012-01,0.022,
2012-04,0.050,
2012-07,0.056,
2012-10,0.054,
2013-01,0.050,
2013-04,0.047,
2013-07,0.075,
2013-10,0.076,
2014-01,0.076,
2014-04,0.069,
2014-07,0.024,
