"",BBK01.OEXJ04P,BBK01.OEXJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:44,
2002-01,0.062,
2002-04,0.056,
2002-07,0.074,
2002-10,0.049,
2003-01,0.044,
2003-04,0.043,
2003-07,0.026,
2003-10,0.021,
2004-01,0.022,
2004-04,0.020,
2004-07,0.021,
2004-10,0.022,
2005-01,0.026,
2005-04,0.025,
2005-07,0.032,
2005-10,0.086,
2006-01,0.098,
2006-04,0.082,
2006-07,0.053,
2006-10,0.055,
2007-01,0.116,
2007-04,0.092,
2007-07,0.052,
2007-10,0.059,
2008-01,0.188,
2008-04,0.186,
2008-07,0.075,
2008-10,0.196,
2009-01,0.255,
2009-04,0.133,
2009-07,0.183,
2009-10,0.181,
2010-01,0.304,
2010-04,0.051,
2010-07,0.163,
2010-10,0.126,
2011-01,0.243,
2011-04,0.278,
2011-07,0.264,
2011-10,0.269,
2012-01,0.197,
2012-04,0.250,
2012-07,0.315,
2012-10,0.283,
2013-01,0.283,
2013-04,0.256,
2013-07,0.221,
2013-10,0.061,
2014-01,0.120,
2014-04,0.076,
2014-07,0.087,
