"",BBK01.CEB30C,BBK01.CEB30C_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:41,
1991-01,9.4,
1991-04,10.1,
1991-07,10.1,
1991-10,10.4,
1992-01,10.8,
1992-04,10.9,
1992-07,10.7,
1992-10,10.5,
1993-01,10.8,
1993-04,10.6,
1993-07,11.2,
1993-10,11.5,
1994-01,11.2,
1994-04,11.1,
1994-07,11.1,
1994-10,12.4,
1995-01,12.7,
1995-04,12.6,
1995-07,12.8,
1995-10,12.7,
1996-01,12.1,
1996-04,11.6,
1996-07,11.4,
1996-10,12.0,
1997-01,12.1,
1997-04,12.1,
1997-07,11.9,
1997-10,12.7,
1998-01,11.7,
1998-04,11.2,
1998-07,11.4,
1998-10,12.5,
1999-01,12.1,
1999-04,11.6,
1999-07,11.1,
1999-10,8.2,
2000-01,8.8,
2000-04,12.1,
2000-07,11.8,
2000-10,9.0,
2001-01,9.2,
2001-04,8.7,
2001-07,8.8,
2001-10,7.6,
2002-01,6.9,
2002-04,6.7,
2002-07,6.2,
2002-10,8.8,
2003-01,9.6,
2003-04,9.8,
2003-07,9.3,
2003-10,9.7,
2004-01,10.5,
2004-04,11.2,
2004-07,12.0,
2004-10,12.4,
2005-01,13.3,
2005-04,13.7,
2005-07,14.2,
2005-10,13.7,
2006-01,9.2,
2006-04,9.3,
2006-07,9.5,
2006-10,9.0,
2007-01,9.3,
2007-04,9.7,
2007-07,9.7,
2007-10,9.6,
2008-01,24.9,
2008-04,48.1,
2008-07,48.6,
2008-10,48.4,
2009-01,45.6,
2009-04,46.6,
2009-07,49.2,
2009-10,51.2,
2010-01,51.2,
2010-04,55.9,
2010-07,55.8,
2010-10,135.5,
2011-01,126.7,
2011-04,125.5,
2011-07,126.0,
2011-10,120.8,
2012-01,118.3,
2012-04,119.4,
2012-07,114.0,
2012-10,118.5,
2013-01,115.6,
2013-04,113.1,
2013-07,108.9,
2013-10,108.2,
2014-01,106.3,
