"",BBSF2.M.1.S.I1250.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:54,
2009-09,1001,
2009-10,347,
2009-11,527,
2009-12,860,
2010-01,1233,
2010-02,525,
2010-03,1803,
2010-04,682,
2010-05,587,
2010-06,317,
2010-07,607,
2010-08,1027,
2010-09,1055,
2010-10,838,
2010-11,817,
2010-12,2407,
2011-01,279,
2011-02,126,
2011-03,352,
2011-04,349,
2011-05,400,
2011-06,307,
2011-07,1530,
2011-08,358,
2011-09,318,
2011-10,172,
2011-11,2607,
2011-12,1604,
2012-01,144,
2012-02,772,
2012-03,337,
2012-04,610,
2012-05,545,
2012-06,1354,
2012-07,492,
2012-08,470,
2012-09,5101,
2012-10,554,
2012-11,1186,
2012-12,2624,
2013-01,1324,
2013-02,455,
2013-03,172,
2013-04,680,
2013-05,1424,
2013-06,881,
2013-07,548,
2013-08,330,
2013-09,725,
2013-10,833,
2013-11,753,
2013-12,1202,
2014-01,220,
2014-02,937,
2014-03,1208,
2014-04,566,
2014-05,667,
2014-06,308,
2014-07,142,
2014-08,534,
2014-09,475,
2014-10,1147,
2014-11,1335,
