"",BBSF2.M.1.S.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:26,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,35,
1993-05,7,
1993-06,10,
1993-07,25,
1993-08,36,
1993-09,14,
1993-10,45,
1993-11,27,
1993-12,25,
1994-01,19,
1994-02,15,
1994-03,9,
1994-04,14,
1994-05,10,
1994-06,42,
1994-07,26,
1994-08,38,
1994-09,16,
1994-10,15,
1994-11,19,
1994-12,41,
1995-01,13,
1995-02,14,
1995-03,11,
1995-04,17,
1995-05,29,
1995-06,13,
1995-07,16,
1995-08,15,
1995-09,13,
1995-10,11,
1995-11,15,
1995-12,23,
1996-01,29,
1996-02,15,
1996-03,23,
1996-04,17,
1996-05,14,
1996-06,7,
1996-07,13,
1996-08,13,
1996-09,24,
1996-10,19,
1996-11,45,
1996-12,36,
1997-01,31,
1997-02,54,
1997-03,31,
1997-04,29,
1997-05,19,
1997-06,21,
1997-07,97,
1997-08,37,
1997-09,28,
1997-10,52,
1997-11,73,
1997-12,78,
1998-01,85,
1998-02,88,
1998-03,153,
1998-04,197,
1998-05,115,
1998-06,180,
1998-07,91,
1998-08,191,
1998-09,121,
1998-10,132,
1998-11,259,
1998-12,224,
1999-01,136,
1999-02,148,
1999-03,161,
1999-04,267,
1999-05,198,
1999-06,109,
1999-07,99,
1999-08,70,
1999-09,59,
1999-10,102,
1999-11,258,
1999-12,429,
2000-01,226,
2000-02,266,
2000-03,186,
2000-04,260,
2000-05,129,
2000-06,68,
2000-07,108,
2000-08,160,
2000-09,73,
2000-10,153,
2000-11,70,
2000-12,80,
2001-01,73,
2001-02,55,
2001-03,84,
2001-04,79,
2001-05,184,
2001-06,77,
2001-07,38,
2001-08,61,
2001-09,261,
2001-10,110,
2001-11,183,
2001-12,142,
2002-01,96,
2002-02,125,
2002-03,64,
2002-04,74,
2002-05,80,
2002-06,70,
2002-07,466,
2002-08,183,
2002-09,59,
2002-10,69,
2002-11,213,
2002-12,135,
2003-01,182,
2003-02,174,
2003-03,165,
2003-04,389,
2003-05,267,
2003-06,229,
2003-07,237,
2003-08,376,
2003-09,159,
2003-10,234,
2003-11,252,
2003-12,191,
2004-01,189,
2004-02,218,
2004-03,195,
2004-04,153,
2004-05,128,
2004-06,133,
2004-07,155,
2004-08,159,
2004-09,104,
2004-10,141,
2004-11,277,
2004-12,72,
2005-01,107,
2005-02,80,
2005-03,67,
2005-04,91,
2005-05,186,
2005-06,125,
2005-07,203,
2005-08,97,
2005-09,195,
2005-10,125,
2005-11,173,
2005-12,272,
2006-01,152,
2006-02,253,
2006-03,169,
2006-04,133,
2006-05,228,
2006-06,241,
2006-07,343,
2006-08,331,
2006-09,339,
2006-10,246,
2006-11,214,
2006-12,391,
2007-01,280,
2007-02,231,
2007-03,312,
2007-04,441,
2007-05,402,
2007-06,339,
2007-07,272,
2007-08,288,
2007-09,365,
2007-10,311,
2007-11,349,
2007-12,289,
2008-01,358,
2008-02,309,
2008-03,339,
2008-04,392,
2008-05,430,
2008-06,267,
2008-07,229,
2008-08,401,
2008-09,452,
2008-10,1084,
2008-11,1260,
2008-12,271,
2009-01,554,
2009-02,593,
2009-03,405,
2009-04,1327,
2009-05,870,
2009-06,1621,
2009-07,3093,
2009-08,3236,
2009-09,37,
2009-10,55,
2009-11,28,
2009-12,50,
2010-01,40,
2010-02,4,
2010-03,21,
2010-04,2,
2010-05,52,
2010-06,20,
2010-07,243,
2010-08,293,
2010-09,78,
2010-10,21,
2010-11,32,
2010-12,20,
2011-01,17,
2011-02,33,
2011-03,59,
2011-04,50,
2011-05,5,
2011-06,5,
2011-07,13,
2011-08,145,
2011-09,57,
2011-10,56,
2011-11,33,
2011-12,4,
2012-01,161,
2012-02,17,
2012-03,14,
2012-04,9,
2012-05,38,
2012-06,12,
2012-07,19,
2012-08,32,
2012-09,33,
2012-10,155,
2012-11,18,
2012-12,59,
2013-01,74,
2013-02,44,
2013-03,207,
2013-04,219,
2013-05,281,
2013-06,231,
2013-07,215,
2013-08,242,
2013-09,205,
2013-10,232,
2013-11,218,
2013-12,223,
2014-01,221,
2014-02,207,
2014-03,133,
2014-04,129,
2014-05,265,
2014-06,392,
2014-07,191,
2014-08,117,
2014-09,179,
2014-10,55,
2014-11,54,
