"",BBK01.OEBB11I,BBK01.OEBB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:52,
2002-01,1.247,
2002-04,1.229,
2002-07,1.162,
2002-10,1.040,
2003-01,0.829,
2003-04,1.018,
2003-07,0.778,
2003-10,0.761,
2004-01,0.746,
2004-04,0.697,
2004-07,0.644,
2004-10,0.959,
2005-01,1.068,
2005-04,1.110,
2005-07,1.120,
2005-10,0.742,
2006-01,0.739,
2006-04,0.735,
2006-07,0.589,
2006-10,0.679,
2007-01,0.647,
2007-04,0.644,
2007-07,0.675,
2007-10,0.518,
2008-01,0.593,
2008-04,0.817,
2008-07,0.908,
2008-10,0.922,
2009-01,0.909,
2009-04,0.833,
2009-07,0.786,
2009-10,0.739,
2010-01,0.801,
2010-04,0.766,
2010-07,0.996,
2010-10,0.984,
2011-01,0.961,
2011-04,0.962,
2011-07,0.923,
2011-10,1.129,
2012-01,1.202,
2012-04,1.097,
2012-07,1.100,
2012-10,1.076,
2013-01,1.117,
2013-04,1.715,
2013-07,1.696,
2013-10,1.450,
2014-01,1.123,
2014-04,0.945,
2014-07,0.939,
