"",BBFN1.M.DE.N.1.L.KZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Kazakhstan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:01,
1995-01,0.074,
1995-02,0.079,
1995-03,0.081,
1995-04,0.079,
1995-05,0.067,
1995-06,0.052,
1995-07,0.055,
1995-08,0.053,
1995-09,0.049,
1995-10,0.038,
1995-11,0.039,
1995-12,0.040,
1996-01,0.081,
1996-02,0.037,
1996-03,0.039,
1996-04,0.041,
1996-05,0.040,
1996-06,0.045,
1996-07,0.050,
1996-08,0.042,
1996-09,0.039,
1996-10,0.039,
1996-11,0.033,
1996-12,0.047,
1997-01,0.046,
1997-02,0.050,
1997-03,0.049,
1997-04,0.050,
1997-05,0.063,
1997-06,0.066,
1997-07,0.067,
1997-08,0.070,
1997-09,0.074,
1997-10,0.067,
1997-11,0.067,
1997-12,0.065,
1998-01,0.069,
1998-02,0.063,
1998-03,0.067,
1998-04,0.071,
1998-05,0.073,
1998-06,0.069,
1998-07,0.065,
1998-08,0.065,
1998-09,0.044,
1998-10,0.043,
1998-11,0.047,
1998-12,0.041,
1999-01,0.036,
1999-02,0.042,
1999-03,0.052,
1999-04,0.048,
1999-05,0.042,
1999-06,0.045,
1999-07,0.039,
1999-08,0.058,
1999-09,0.052,
1999-10,0.042,
1999-11,0.067,
1999-12,0.038,
2000-01,0.042,
2000-02,0.024,
2000-03,0.032,
2000-04,0.050,
2000-05,0.039,
2000-06,0.060,
2000-07,0.065,
2000-08,0.062,
2000-09,0.049,
2000-10,0.048,
2000-11,0.109,
2000-12,0.078,
2001-01,0.086,
2001-02,0.067,
2001-03,0.076,
2001-04,0.095,
2001-05,0.092,
2001-06,0.099,
2001-07,0.063,
2001-08,0.085,
2001-09,0.077,
2001-10,0.105,
2001-11,0.071,
2001-12,0.088,
2002-01,0.071,
2002-02,0.079,
2002-03,0.074,
2002-04,0.071,
2002-05,0.052,
2002-06,0.063,
2002-07,0.099,
2002-08,0.093,
2002-09,0.148,
2002-10,0.114,
2002-11,0.113,
2002-12,0.091,
2003-01,0.089,
2003-02,0.075,
2003-03,0.077,
2003-04,0.083,
2003-05,0.082,
2003-06,0.082,
2003-07,0.078,
2003-08,0.083,
2003-09,0.080,
2003-10,0.089,
2003-11,0.085,
2003-12,0.084,
2004-01,0.090,
2004-02,0.083,
2004-03,0.091,
2004-04,0.093,
2004-05,0.088,
2004-06,0.094,
2004-07,0.092,
2004-08,0.086,
2004-09,0.085,
2004-10,0.080,
2004-11,0.073,
2004-12,0.054,
2005-01,0.051,
2005-02,0.052,
2005-03,0.062,
2005-04,0.055,
2005-05,0.063,
2005-06,0.070,
2005-07,0.075,
2005-08,0.082,
2005-09,0.181,
2005-10,0.188,
2005-11,0.206,
2005-12,0.209,
2006-01,0.204,
2006-02,0.210,
2006-03,0.231,
2006-04,0.241,
2006-05,0.245,
2006-06,0.223,
2006-07,0.208,
2006-08,0.218,
2006-09,0.236,
2006-10,0.196,
2006-11,0.177,
2006-12,0.183,
2007-01,0.216,
2007-02,0.190,
2007-03,0.211,
2007-04,0.216,
2007-05,0.217,
2007-06,0.223,
2007-07,0.242,
2007-08,0.277,
2007-09,0.291,
2007-10,0.293,
2007-11,0.289,
2007-12,0.273,
2008-01,0.263,
2008-02,0.278,
2008-03,0.311,
2008-04,0.314,
2008-05,0.320,
2008-06,0.324,
2008-07,0.336,
2008-08,0.331,
2008-09,0.361,
2008-10,0.361,
2008-11,0.296,
2008-12,0.304,
2009-01,0.308,
2009-02,0.295,
2009-03,0.357,
2009-04,0.328,
2009-05,0.332,
2009-06,0.359,
2009-07,0.406,
2009-08,0.376,
2009-09,0.376,
2009-10,0.418,
2009-11,0.390,
2009-12,0.399,
2010-01,0.393,
2010-02,0.291,
2010-03,0.329,
2010-04,0.371,
2010-05,0.323,
2010-06,0.323,
2010-07,0.280,
2010-08,0.302,
2010-09,0.322,
2010-10,0.294,
2010-11,0.306,
2010-12,0.304,
2011-01,0.325,
2011-02,0.248,
2011-03,0.273,
2011-04,0.322,
2011-05,0.283,
2011-06,0.345,
2011-07,0.322,
2011-08,0.346,
2011-09,0.335,
2011-10,0.340,
2011-11,0.344,
2011-12,0.306,
2012-01,0.337,
2012-02,0.325,
2012-03,0.314,
2012-04,0.341,
2012-05,0.347,
2012-06,0.260,
2012-07,0.376,
2012-08,0.326,
2012-09,0.337,
2012-10,0.396,
2012-11,0.345,
2012-12,0.388,
2013-01,0.338,
2013-02,0.301,
2013-03,0.325,
2013-04,0.246,
2013-05,0.231,
2013-06,0.195,
2013-07,0.253,
2013-08,0.225,
2013-09,0.166,
2013-10,0.206,
2013-11,0.262,
2013-12,0.258,
2014-01,0.234,
2014-02,0.266,
2014-03,0.269,
2014-04,0.278,
2014-05,0.323,
2014-06,0.233,
2014-07,0.240,
2014-08,0.275,
2014-09,0.284,
2014-10,0.270,
2014-11,0.219,
2014-12,0.308,
