"",BBK01.OEBI01M,BBK01.OEBI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:13,
2002-01,24.593,
2002-04,24.233,
2002-07,25.522,
2002-10,26.435,
2003-01,26.106,
2003-04,26.794,
2003-07,26.562,
2003-10,27.565,
2004-01,27.308,
2004-04,27.640,
2004-07,29.048,
2004-10,31.021,
2005-01,35.233,
2005-04,35.595,
2005-07,35.321,
2005-10,35.620,
2006-01,35.247,
2006-04,35.717,
2006-07,35.167,
2006-10,36.097,
2007-01,36.069,
2007-04,36.833,
2007-07,37.223,
2007-10,40.020,
2008-01,40.902,
2008-04,41.780,
2008-07,41.595,
2008-10,49.173,
2009-01,52.470,
2009-04,55.047,
2009-07,54.060,
2009-10,53.837,
2010-01,52.924,
2010-04,53.820,
2010-07,53.532,
2010-10,56.154,
2011-01,55.772,
2011-04,55.971,
2011-07,57.977,
2011-10,62.050,
2012-01,61.113,
2012-04,63.738,
2012-07,66.697,
2012-10,66.271,
2013-01,65.264,
2013-04,66.599,
2013-07,65.523,
2013-10,63.769,
2014-01,63.069,
2014-04,66.977,
2014-07,67.184,
