"",BBSF2.M.1.S.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Bonds funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:42,
2009-09,195480,
2009-10,195938,
2009-11,199235,
2009-12,204448,
2010-01,208573,
2010-02,213024,
2010-03,218090,
2010-04,219481,
2010-05,222187,
2010-06,221642,
2010-07,221053,
2010-08,229347,
2010-09,229959,
2010-10,231603,
2010-11,230301,
2010-12,226721,
2011-01,224794,
2011-02,226631,
2011-03,226104,
2011-04,223252,
2011-05,225898,
2011-06,224951,
2011-07,227020,
2011-08,228859,
2011-09,229365,
2011-10,230180,
2011-11,226362,
2011-12,237425,
2012-01,242882,
2012-02,247150,
2012-03,251016,
2012-04,252129,
2012-05,260403,
2012-06,259564,
2012-07,269245,
2012-08,273110,
2012-09,274503,
2012-10,277660,
2012-11,281606,
2012-12,284650,
2013-01,281728,
2013-02,283509,
2013-03,287620,
2013-04,292598,
2013-05,289044,
2013-06,280642,
2013-07,283257,
2013-08,282061,
2013-09,283303,
2013-10,285819,
2013-11,289972,
2013-12,287239,
2014-01,293845,
2014-02,297058,
2014-03,306655,
2014-04,304050,
2014-05,310768,
2014-06,313828,
2014-07,316593,
2014-08,323930,
2014-09,325326,
2014-10,329174,
2014-11,334944,
