"",BBK01.OEHB23N,BBK01.OEHB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:16,
2002-01,0.219,
2002-04,0.222,
2002-07,0.226,
2002-10,0.283,
2003-01,0.376,
2003-04,0.344,
2003-07,0.366,
2003-10,0.469,
2004-01,0.518,
2004-04,0.435,
2004-07,0.390,
2004-10,0.341,
2005-01,0.197,
2005-04,0.187,
2005-07,0.204,
2005-10,0.244,
2006-01,0.261,
2006-04,0.284,
2006-07,0.290,
2006-10,0.299,
2007-01,0.359,
2007-04,0.359,
2007-07,0.359,
2007-10,0.369,
2008-01,0.387,
2008-04,0.367,
2008-07,0.356,
2008-10,0.415,
2009-01,0.516,
2009-04,1.052,
2009-07,1.381,
2009-10,1.431,
2010-01,1.458,
2010-04,1.603,
2010-07,1.738,
2010-10,1.757,
2011-01,1.763,
2011-04,1.912,
2011-07,2.029,
2011-10,2.053,
2012-01,2.060,
2012-04,1.431,
2012-07,1.411,
2012-10,1.568,
2013-01,1.732,
2013-04,1.728,
2013-07,1.680,
2013-10,1.659,
2014-01,1.616,
2014-04,1.738,
2014-07,1.754,
