"",BBK01.OEXL08J,BBK01.OEXL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:34,
2002-01,0.393,
2002-04,0.379,
2002-07,0.362,
2002-10,0.366,
2003-01,0.367,
2003-04,0.364,
2003-07,0.364,
2003-10,0.358,
2004-01,0.341,
2004-04,0.330,
2004-07,0.318,
2004-10,0.322,
2005-01,0.326,
2005-04,0.330,
2005-07,0.322,
2005-10,0.326,
2006-01,0.324,
2006-04,0.318,
2006-07,0.308,
2006-10,0.312,
2007-01,0.302,
2007-04,0.296,
2007-07,0.290,
2007-10,0.289,
2008-01,0.283,
2008-04,0.267,
2008-07,0.262,
2008-10,0.284,
2009-01,0.290,
2009-04,0.297,
2009-07,0.315,
2009-10,0.336,
2010-01,0.330,
2010-04,0.322,
2010-07,0.316,
2010-10,0.320,
2011-01,0.319,
2011-04,0.309,
2011-07,0.302,
2011-10,0.309,
2012-01,0.307,
2012-04,0.307,
2012-07,0.309,
2012-10,0.321,
2013-01,0.315,
2013-04,0.309,
2013-07,0.308,
2013-10,0.315,
2014-01,0.315,
2014-04,0.311,
2014-07,0.304,
