"",BBK01.OECL05V,BBK01.OECL05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:50,
2002-01,0.006,
2002-04,0.004,
2002-07,0.004,
2002-10,0.004,
2003-01,0.004,
2003-04,0.005,
2003-07,0.004,
2003-10,0.005,
2004-01,0.005,
2004-04,0.041,
2004-07,0.042,
2004-10,0.042,
2005-01,0.171,
2005-04,0.165,
2005-07,0.159,
2005-10,0.145,
2006-01,0.137,
2006-04,0.136,
2006-07,0.126,
2006-10,0.121,
2007-01,0.117,
2007-04,0.113,
2007-07,0.111,
2007-10,0.108,
2008-01,0.104,
2008-04,0.102,
2008-07,0.097,
2008-10,0.120,
2009-01,0.122,
2009-04,0.124,
2009-07,0.149,
2009-10,0.156,
2010-01,0.164,
2010-04,0.163,
2010-07,0.161,
2010-10,0.158,
2011-01,0.157,
2011-04,0.120,
2011-07,0.106,
2011-10,0.101,
2012-01,0.109,
2012-04,0.107,
2012-07,0.097,
2012-10,0.093,
2013-01,0.086,
2013-04,0.086,
2013-07,0.078,
2013-10,0.074,
2014-01,0.070,
2014-04,0.066,
2014-07,0.065,
