"",BBK01.OECL03L,BBK01.OECL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:33,
2002-01,2.128,
2002-04,1.872,
2002-07,1.812,
2002-10,1.866,
2003-01,1.725,
2003-04,1.511,
2003-07,1.543,
2003-10,1.512,
2004-01,1.510,
2004-04,1.490,
2004-07,1.327,
2004-10,1.706,
2005-01,1.724,
2005-04,1.674,
2005-07,1.877,
2005-10,1.975,
2006-01,2.121,
2006-04,2.076,
2006-07,2.297,
2006-10,2.590,
2007-01,2.636,
2007-04,2.714,
2007-07,3.223,
2007-10,3.850,
2008-01,4.133,
2008-04,4.464,
2008-07,4.980,
2008-10,4.447,
2009-01,3.824,
2009-04,3.590,
2009-07,3.068,
2009-10,2.357,
2010-01,1.870,
2010-04,1.789,
2010-07,1.706,
2010-10,1.557,
2011-01,1.614,
2011-04,1.539,
2011-07,1.695,
2011-10,1.705,
2012-01,1.737,
2012-04,1.676,
2012-07,1.795,
2012-10,1.484,
2013-01,1.386,
2013-04,1.511,
2013-07,1.520,
2013-10,1.380,
2014-01,1.374,
2014-04,1.498,
2014-07,1.933,
