"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:47,
1991-01,-0.725,
1991-04,-0.667,
1991-07,-0.695,
1991-10,-0.685,
1992-01,19.819,
1992-04,16.608,
1992-07,19.328,
1992-10,19.819,
1993-01,11.743,
1993-04,11.002,
1993-07,11.743,
1993-10,11.743,
1994-01,2.235,
1994-04,2.235,
1994-07,0.326,
1994-10,2.235,
1995-01,19.848,
1995-04,19.848,
1995-07,19.848,
1995-10,19.388,
1996-01,-11.037,
1996-04,-6.372,
1996-07,-6.995,
1996-10,-6.372,
1997-01,30.165,
1997-04,32.006,
1997-07,32.612,
1997-10,34.000,
1998-01,11.505,
1998-04,10.953,
1998-07,9.390,
1998-10,11.889,
1999-01,10.533,
1999-04,11.604,
1999-07,14.744,
1999-10,14.489,
2000-01,21.190,
2000-04,26.000,
2000-07,27.000,
2000-10,26.854,
2001-01,-30.559,
2001-04,3.077,
2001-07,7.145,
2001-10,4.650,
2002-01,-19.227,
2002-04,9.249,
2002-07,1.922,
2002-10,14.877,
2003-01,-4.878,
2003-04,24.057,
2003-07,39.821,
2003-10,23.792,
2004-01,96.797,
2004-04,69.225,
2004-07,100.638,
2004-10,72.574,
2005-01,3.091,
2005-04,47.628,
2005-07,70.845,
2005-10,46.375,
2006-01,46.717,
2006-04,55.628,
2006-07,88.168,
2006-10,78.097,
2007-01,99.230,
2007-04,73.340,
2007-07,116.594,
2007-10,72.958,
2008-01,55.694,
2008-04,-42.122,
2008-07,23.857,
2008-10,71.867,
2009-01,40.550,
2009-04,42.263,
2009-07,97.489,
2009-10,23.323,
2010-01,-56.508,
2010-04,43.770,
2010-07,79.207,
2010-10,80.952,
2011-01,-12.660,
2011-04,69.713,
2011-07,87.240,
2011-10,77.358,
2012-01,101.927,
2012-04,8.619,
2012-07,-86.782,
2012-10,80.552,
2013-01,-58.527,
2013-04,40.523,
2013-07,118.105,
2013-10,118.974,
2014-01,-6.786,Provisional value
2014-04,75.023,Provisional value
2014-07,103.102,Provisional value
2014-10,98.519,Provisional value
