"",BBFN1.M.DE.N.1.L.DK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:14,
1982-09,0.027,
1982-10,0.027,
1982-11,0.048,
1982-12,0.074,
1983-01,0.074,
1983-02,0.074,
1983-03,0.074,
1983-04,0.075,
1983-05,0.074,
1983-06,0.074,
1983-07,0.064,
1983-08,0.064,
1983-09,0.064,
1983-10,0.063,
1983-11,0.058,
1983-12,0.051,
1984-01,0.046,
1984-02,0.046,
1984-03,0.045,
1984-04,0.046,
1984-05,0.046,
1984-06,0.046,
1984-07,0.046,
1984-08,0.046,
1984-09,0.046,
1984-10,0.051,
1984-11,0.031,
1984-12,0.030,
1985-01,0.030,
1985-02,0.032,
1985-03,0.032,
1985-04,0.025,
1985-05,0.025,
1985-06,0.025,
1985-07,0.035,
1985-08,0.028,
1985-09,0.032,
1985-10,0.032,
1985-11,0.031,
1985-12,0.037,
1986-01,0.043,
1986-02,0.062,
1986-03,0.062,
1986-04,0.063,
1986-05,0.070,
1986-06,0.069,
1986-07,0.069,
1986-08,0.070,
1986-09,0.070,
1986-10,0.069,
1986-11,0.068,
1986-12,0.070,
1987-01,0.070,
1987-02,0.059,
1987-03,0.060,
1987-04,0.059,
1987-05,0.048,
1987-06,0.041,
1987-07,0.040,
1987-08,0.040,
1987-09,0.040,
1987-10,0.040,
1987-11,0.039,
1987-12,0.036,
1988-01,0.034,
1988-02,0.035,
1988-03,0.032,
1988-04,0.032,
1988-05,0.028,
1988-06,0.028,
1988-07,0.028,
1988-08,0.028,
1988-09,0.028,
1988-10,0.028,
1988-11,0.027,
1988-12,0.026,
1989-01,0.039,
1989-02,0.072,
1989-03,0.073,
1989-04,0.074,
1989-05,0.082,
1989-06,0.082,
1989-07,0.084,
1989-08,0.084,
1989-09,0.089,
1989-10,0.089,
1989-11,0.088,
1989-12,0.086,
1990-01,0.086,
1990-02,0.128,
1990-03,0.126,
1990-04,0.126,
1990-05,0.127,
1990-06,0.126,
1990-07,0.127,
1990-08,0.127,
1990-09,0.122,
1990-10,0.122,
1990-11,0.121,
1990-12,0.118,
1991-01,0.104,
1991-02,0.104,
1991-03,0.125,
1991-04,0.125,
1991-05,0.125,
1991-06,0.125,
1991-07,0.121,
1991-08,0.121,
1991-09,0.121,
1991-10,0.124,
1991-11,0.121,
1991-12,0.121,
1992-01,0.118,
1992-02,0.122,
1992-03,0.122,
1992-04,0.124,
1992-05,0.125,
1992-06,0.138,
1992-07,0.134,
1992-08,0.154,
1992-09,0.174,
1992-10,0.189,
1992-11,0.190,
1992-12,0.184,
1993-01,0.205,
1993-02,0.203,
1993-03,0.202,
1993-04,0.203,
1993-05,0.202,
1993-06,0.206,
1993-07,0.208,
1993-08,0.202,
1993-09,0.206,
1993-10,0.230,
1993-11,0.230,
1993-12,0.259,
1994-01,0.256,
1994-02,0.257,
1994-03,0.231,
1994-04,0.235,
1994-05,0.228,
1994-06,0.259,
1994-07,0.260,
1994-08,0.242,
1994-09,0.217,
1994-10,0.215,
1994-11,0.219,
1994-12,0.216,
1995-01,0.206,
1995-02,0.235,
1995-03,0.231,
1995-04,0.230,
1995-05,0.233,
1995-06,0.240,
1995-07,0.227,
1995-08,0.227,
1995-09,0.222,
1995-10,0.221,
1995-11,0.226,
1995-12,0.207,
1996-01,0.212,
1996-02,0.201,
1996-03,0.207,
1996-04,0.203,
1996-05,0.203,
1996-06,0.215,
1996-07,0.216,
1996-08,0.213,
1996-09,0.200,
1996-10,0.197,
1996-11,0.202,
1996-12,0.170,
1997-01,0.182,
1997-02,0.183,
1997-03,0.160,
1997-04,0.170,
1997-05,0.173,
1997-06,0.171,
1997-07,0.170,
1997-08,0.180,
1997-09,0.180,
1997-10,0.179,
1997-11,0.180,
1997-12,0.145,
1998-01,0.145,
1998-02,0.161,
1998-03,0.164,
1998-04,0.166,
1998-05,0.168,
1998-06,0.165,
1998-07,0.164,
1998-08,0.172,
1998-09,0.334,
1998-10,0.333,
1998-11,0.327,
1998-12,0.324,
1999-01,0.375,
1999-02,0.374,
1999-03,0.374,
1999-04,0.350,
1999-05,0.289,
1999-06,0.305,
1999-07,0.338,
1999-08,0.382,
1999-09,0.378,
1999-10,0.377,
1999-11,0.399,
1999-12,0.628,
2000-01,0.562,
2000-02,0.535,
2000-03,0.539,
2000-04,0.644,
2000-05,0.482,
2000-06,0.371,
2000-07,0.366,
2000-08,0.366,
2000-09,0.366,
2000-10,0.342,
2000-11,0.341,
2000-12,0.312,
2001-01,0.306,
2001-02,0.326,
2001-03,0.335,
2001-04,0.354,
2001-05,0.347,
2001-06,0.364,
2001-07,0.350,
2001-08,0.349,
2001-09,0.360,
2001-10,0.339,
2001-11,0.350,
2001-12,0.342,
2002-01,0.337,
2002-02,0.332,
2002-03,0.330,
2002-04,0.313,
2002-05,0.338,
2002-06,0.336,
2002-07,0.335,
2002-08,0.346,
2002-09,0.356,
2002-10,0.355,
2002-11,0.354,
2002-12,0.342,
2003-01,0.343,
2003-02,0.447,
2003-03,0.449,
2003-04,0.449,
2003-05,0.452,
2003-06,0.482,
2003-07,0.501,
2003-08,0.501,
2003-09,0.459,
2003-10,0.451,
2003-11,0.444,
2003-12,0.412,
2004-01,0.360,
2004-02,0.371,
2004-03,0.373,
2004-04,0.379,
2004-05,0.377,
2004-06,0.387,
2004-07,0.469,
2004-08,0.387,
2004-09,0.358,
2004-10,0.368,
2004-11,0.344,
2004-12,0.341,
2005-01,0.340,
2005-02,0.330,
2005-03,0.339,
2005-04,0.329,
2005-05,0.315,
2005-06,0.319,
2005-07,0.317,
2005-08,0.316,
2005-09,0.317,
2005-10,0.364,
2005-11,0.482,
2005-12,0.435,
2006-01,0.425,
2006-02,0.334,
2006-03,0.335,
2006-04,0.333,
2006-05,0.334,
2006-06,0.341,
2006-07,0.396,
2006-08,0.400,
2006-09,0.406,
2006-10,0.408,
2006-11,0.403,
2006-12,4.267,
2007-01,4.254,
2007-02,4.252,
2007-03,4.248,
2007-04,4.839,
2007-05,4.837,
2007-06,4.971,
2007-07,4.956,
2007-08,4.948,
2007-09,4.811,
2007-10,4.808,
2007-11,4.805,
2007-12,4.095,
2008-01,4.078,
2008-02,4.079,
2008-03,4.196,
2008-04,4.197,
2008-05,4.210,
2008-06,4.150,
2008-07,4.162,
2008-08,4.159,
2008-09,4.179,
2008-10,4.266,
2008-11,4.256,
2008-12,3.972,
2009-01,4.086,
2009-02,4.107,
2009-03,4.071,
2009-04,4.072,
2009-05,4.039,
2009-06,3.938,
2009-07,3.910,
2009-08,3.918,
2009-09,3.899,
2009-10,4.029,
2009-11,4.033,
2009-12,4.228,
2010-01,4.232,
2010-02,4.233,
2010-03,4.203,
2010-04,4.228,
2010-05,4.245,
2010-06,4.237,
2010-07,4.023,
2010-08,4.208,
2010-09,4.165,
2010-10,4.127,
2010-11,4.229,
2010-12,4.084,
2011-01,4.055,
2011-02,4.106,
2011-03,4.077,
2011-04,4.028,
2011-05,4.136,
2011-06,3.949,
2011-07,3.926,
2011-08,4.034,
2011-09,1.774,
2011-10,1.773,
2011-11,1.725,
2011-12,1.731,
2012-01,1.716,
2012-02,1.749,
2012-03,1.978,
2012-04,1.902,
2012-05,1.919,
2012-06,1.918,
2012-07,1.920,
2012-08,1.649,
2012-09,0.982,
2012-10,0.997,
2012-11,1.001,
2012-12,1.031,
2013-01,1.015,
2013-02,1.069,
2013-03,1.089,
2013-04,1.410,
2013-05,1.400,
2013-06,1.346,
2013-07,1.342,
2013-08,1.311,
2013-09,1.322,
2013-10,1.339,
2013-11,1.331,
2013-12,1.616,
2014-01,1.660,
2014-02,1.590,
2014-03,1.594,
2014-04,1.592,
2014-05,1.587,
2014-06,1.578,
2014-07,1.595,
2014-08,1.486,
2014-09,1.523,
2014-10,1.506,
2014-11,1.491,
2014-12,1.409,
